"Anatomical Structures, Cell Types and Biomarkers Table for Bone Marrow v1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Muzlifah A. Haniffa; Laura Jardine; Sarah A. Teichmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-3927-2084; 0000-0003-4495-8205; 0000-0002-6294-6366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Elisa Laurenti; Bertie Gottgens; Andrea J. Radtke; Rebecca T. Beuschel; Ellen Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-9917-9092;0000-0001-6302-5705; 0000-0003-4379-8967; 0000-0002-3882-457X; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,DOI: 10.1126/science.aah4573; 10.1126/science.aay3224; DOI: 10.1038/s41586-019-1652-y; DOI: 10.1016/j.exphem.2018.09.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM449.NWVK.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,5/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,CT/1,CT/1/LABEL,CT/1/ID,CT/2,CT/2/LABEL,CT/2/ID,All Gene Biomarkers,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/4,BGene/4/LABEL,BGene/4/ID,BGene/5,BGene/5/LABEL,BGene/5/ID,BGene/6,BGene/6/LABEL,BGene/6/ID,BGene/7,BGene/7/LABEL,BGene/7/ID,BGene/8,BGene/8/LABEL,BGene/8/ID,BGene/9,BGene/9/LABEL,BGene/9/ID,BGene/10,BGene/10/LABEL,BGene/10/ID,BGene/11,BGene/11/LABEL,BGene/11/ID,BGene/12,BGene/12/LABEL,BGene/12/ID,BGene/13,BGene/13/LABEL,BGene/13/ID,BProtein/1,BProtein/1/LABEL,BProtein/1/ID,BProtein/2,BProtein/2/LABEL,BProtein/2/ID,BProtein/3,BProtein/3/LABEL,BProtein/3/ID,BProtein/4,BProtein/4/LABEL,BProtein/4/ID,BProtein/5,BProtein/5/LABEL,BProtein/5/ID,BProtein/6,BProtein/6/LABEL,BProtein/6/ID,BProtein/7,BProtein/7/LABEL,BProtein/7/ID,BProtein/8,BProtein/8/LABEL,BProtein/8/ID,BProtein/9,BProtein/9/LABEL,BProtein/9/ID,BProtein/10,BProtein/10/LABEL,BProtein/10/ID,BProtein/11,BProtein/11/LABEL,BProtein/11/ID,BProtein/12,BProtein/12/LABEL,BProtein/12/ID,FTU/1,FTU/1/LABEL,FTU/1/ID,REF/1,REF/1/DOI,REF/1/NOTES
Bone marrow,Bone marrow,UBERON:0002371,dendritic cell (DC),"dendritic cell, human",CL:0001056,Plasmacytoid Dendritic Cell (pDC),"plasmacytoid dendritic cell, human",CL:0001058,"GZMB, JCHAIN, SERPINF1",GZMB,,HGNC:4709,JCHAIN,,HGNC:5713,SERPINF1,,HGNC:8824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CD3-,CD3E,HGNC:1674,CD19-,CD19,HGNC:1633,CD14-,CD14,HGNC:1628,CD16-,FCGR3A,HGNC:3619,CD56-,NCAM1,HGNC:7656,HLA-DR+,,,CD11c-/+,ITGAX,HGNC:6152,CD123+,IL3RA,HGNC:6012,AXL+,AXL,HGNC:905,Siglec6+,SIGLEC6,HGNC:10875,,,,,,,,,,,DOI: 10.1111/bjh.14467,
Bone marrow,Bone marrow,UBERON:0002371,dendritic cell (DC),"dendritic cell, human",CL:0001056,transitional Dendritic Cell (tDC),immature conventional dendritic cell,CL:0000840,"AXL, SIGLEC6, CD22",AXL,,HGNC:905,SIGLEC6,,HGNC:10875,CD22,,HGNC:1643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CD45lo,PTPRC,HGNC:9666,CD71+,TFRC,HGNC:11763,CD36+,CD36,HGNC:1663,CD117+,KIT,HGNC:6342,CD105+,ENG,HGNC:3349,CD235alo,GYPA,HGNC:4702,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1182/blood-2004-02-0769,
Bone marrow,Bone marrow,UBERON:0002371,erythroid,erythroid lineage cell,CL:0000764,early erythroid,erythroid lineage cell,CL:0000764,"MYC, APOC1, PRSS57, KCNH2, EPCAM, CD36, KLF1, GATA1",MYC,,HGNC:7553,APOC1,,HGNC:607,PRSS57,,HGNC:31397,KCNH2,,HGNC:6251,EPCAM,,HGNC:11529,CD36,,HGNC:1663,KLF1,,HGNC:6345,GATA1,,HGNC:4170,,,,,,,,,,,,,,,,CD45lo,PTPRC,HGNC:9666,CD71+,TFRC,HGNC:11763,CD36+,CD36,HGNC:1663,CD117+,KIT,HGNC:6342,CD105+,ENG,HGNC:3349,CD235alo,GYPA,HGNC:4702,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1371/journal.pone.0162209,
Bone marrow,Bone marrow,UBERON:0002371,erythroid,erythroid lineage cell,CL:0000764,mid erythroid,erythroid lineage cell,CL:0000764,"CD36, KLF1, TSPO2, RHAG, RHCE, SPTA1",CD36,,HGNC:1663,KLF1,,HGNC:6345,TSPO2,,HGNC:21256,RHAG,,HGNC:10006,RHCE,,HGNC:10008,SPTA1,,HGNC:11272,,,,,,,,,,,,,,,,,,,,,,CD45-,PTPRC,HGNC:9666,CD71+,TFRC,HGNC:11763,CD36+,CD36,HGNC:1663,CD117-,KIT,HGNC:6342,CD105-,ENG,HGNC:3349,CD235a+,GYPA,HGNC:4702,,,,,,,,,,,,,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,erythroid,erythroid lineage cell,CL:0000764,late erythroid,erythroid lineage cell,CL:0000764,"HBB, ALAS2, BPGM, HBA2, HBG1, DCAF12, ADIPOR1,",HBB,,HGNC:4827,ALAS2,,HGNC:397,BPGM,,HGNC:1093,HBA2,,HGNC:4824,HBG1,,HGNC:4831,DCAF12,,HGNC:19911,ADIPOR1,,HGNC:24040,,,,,,,,,,,,,,,,,,,CD45-,PTPRC,HGNC:9666,CD71+,TFRC,HGNC:11763,CD36lo,CD36,HGNC:1663,CD117-,KIT,HGNC:6342,CD105-,ENG,HGNC:3349,CD235ahi,GYPA,HGNC:4702,,,,,,,,,,,,,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,Megakaryocyte (MK),Megakaryocyte,CL:0000556,Megakaryocyte (MK),,,"GP9, CAVIN2, PPBP, LAT, PF4, CLEC1B, ITGA2B",GP9,,HGNC:4444,CAVIN2,,HGNC:10690,PPBP,,HGNC:9240,LAT,,HGNC:18874,PF4,,HGNC:8861,CLEC1B,,HGNC:24356,ITGA2B,,HGNC:6138,,,,,,,,,,,,,,,,,,,CXCL4+,PF4,HGNC:8861,CD32+,FCGR2B,HGNC:3618,CD42b+,GP1BA,HGNC:4439,CD41+,ITGA2B,HGNC:6138,CD61+,ITGB3,HGNC:6156,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,Megakaryocyte (MK),Megakaryocyte,CL:0000556,early Megakaryocyte (MK),megakaryocyte progenitor cell,CL:0000553,"GATA2, FCER1A, PLEK, SDPR, PDLIM1",GATA2,,HGNC:4171,FCER1A,,HGNC:3609,PLEK,,HGNC:9070,CAVIN2,,HGNC:10690,PDLIM1,,HGNC:2067,,,,,,,,,,,,,,,,,,,,,,,,,CXCL4+,PF4,HGNC:8861,CD32lo,FCGR2B,HGNC:3618,CD42b+,GP1BA,HGNC:4439,CD41lo,ITGA2B,HGNC:6138,CD61+,ITGB3,HGNC:6156,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,hemopoietic stem cell/multipotent progenitor (HSC/MPP),hematopoietic multipotent progenitor cell,CL:0000837,megakaryocyte-erythroid-mast cell progenitor (MEMP),megakaryocyte-erythroid progenitor cell,CL:0000050,"CD34, SPINK2, PRSS57, GATA2, TESPA1, IL1B, CTNNBL1, GATA1",CD34,,HGNC:1662,SPINK2,,HGNC:11245,PRSS57,,HGNC:31397,GATA2,,HGNC:4171,TESPA1,,HGNC:29109,IL1B,,HGNC:5992,CTNNBL1,,HGNC:15879,GATA1,,HGNC:4170,,,,,,,,,,,,,,,,CD3-,CD3E,HGNC:1674,CD14-,CD14,HGNC:1628,CD16-,FCGR3A,HGNC:3619,CD56+,NCAM1,HGNC:7656,CD34+,CD34,HGNC:1662,CD38+,CD38,HGNC:1667,CD123+,IL3RA,HGNC:6012,CD45RA-,PTPRC,HGNC:9666,CD135-,FLT3,HGNC:3765,,,,,,,,,,,,,,DOI: 10.1038/ni.1889,
Bone marrow,Bone marrow,UBERON:0002371,hemopoietic stem cell/multipotent progenitor (HSC/MPP),hematopoietic multipotent progenitor cell,CL:0000837,common lymphoid progenitor (CLP),common lymphoid progenitor,CL:0000051,"CYGB, ADA, PRDX1, LAT2, UMODL1, CD200",CYGB,,HGNC:16505,ADA,,HGNC:186,PRDX1,,HGNC:9352,LAT2,,HGNC:12749,UMODL1,,HGNC:12560,CD200,,HGNC:7203,,,,,,,,,,,,,,,,,,,,,,CD3-,CD3E,HGNC:1674,CD14-,CD14,HGNC:1628,CD16-,FCGR3A,HGNC:3619,CD56+,NCAM1,HGNC:7656,CD34+,CD34,HGNC:1662,CD38+,CD38,HGNC:1667,CD127+,IL7R,HGNC:6024,,,,,,,,,,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,hemopoietic stem cell/multipotent progenitor (HSC/MPP),hematopoietic multipotent progenitor cell,CL:0000837,common myeloid progenitor (CMP),common myeloid progenitor,CL:0000049,"HPGDS, GATA2, CYTL1, SERPINB1, MEST",HPGDS,,HGNC:5154,GATA2,,HGNC:4171,CYTL1,,HGNC:24435,SERPINB1,,HGNC:3311,MEST,,HGNC:7028,,,,,,,,,,,,,,,,,,,,,,,,,CD3-,CD3E,HGNC:1674,CD14-,CD14,HGNC:1628,CD16-,FCGR3A,HGNC:3619,CD56+,NCAM1,HGNC:7656,CD34+,CD34,HGNC:1662,CD38+,CD38,HGNC:1667,CD123lo,IL3RA,HGNC:6012,CD45RA-,PTPRC,HGNC:9666,CD135+,FLT3,HGNC:3765,,,,,,,,,,,,,,DOI: 10.1038/ni.1889,
Bone marrow,Bone marrow,UBERON:0002371,hemopoietic stem cell/multipotent progenitor (HSC/MPP),hematopoietic multipotent progenitor cell,CL:0000837,granulocyte-macrophage progenitor cell (GMP),,,"CD34, CALR, CLEC11A, MPO, AZU1",CD34,,HGNC:1662,CALR,,HGNC:1455,CLEC11A,,HGNC:10576,MPO,,HGNC:7218,AZU1,,HGNC:913,,,,,,,,,,,,,,,,,,,,,,,,,CD3-,CD3E,HGNC:1674,CD14-,CD14,HGNC:1628,CD16-,FCGR3A,HGNC:3619,CD56+,NCAM1,HGNC:7656,CD34+,CD34,HGNC:1662,CD38+,CD38,HGNC:1667,CD123lo,IL3RA,HGNC:6012,CD45RA+,PTPRC,HGNC:9666,CD135+,FLT3,HGNC:3765,,,,,,,,,,,,,,DOI: 10.1038/ni.1889,
Bone marrow,Bone marrow,UBERON:0002371,hemopoietic stem cell/multipotent progenitor (HSC/MPP),hematopoietic multipotent progenitor cell,CL:0000837,hemopoietic stem cell (HSC),hemopoietic stem cell,CL:0000037,"AVP. CRHBP, NPR3, BEX1, PROM1, CD34, HLF",AVP,,HGNC:894,CRHBP,,HGNC:2356,NPR3,,HGNC:7945,BEX1,,HGNC:1036,PROM1,,HGNC:9454,CD34,,HGNC:4977,HLF,,HGNC:4977,MLLT3,,HGNC:7136,,,,,,,,,,,,,,,,CD2-,CD2,HGNC:1639,CD3-,CD3E,HGNC:1674,CD14-,CD14,HGNC:1628,CD16-,FCGR3A,HGNC:3619,CD19-,CD19,HGNC:1633,CD56-,NCAM1,HGNC:7656,CD235a-,GYPA,HGNC:4702,CD34+,CD34,HGNC:1662,CD38-,CD38,HGNC:1667,CD45RA-,PTPRC,HGNC:9666,CD90+,THY1,HGNC:11801,,,,1,,,,,
Bone marrow,Bone marrow,UBERON:0002371,hemopoietic stem cell/multipotent progenitor (HSC/MPP),hematopoietic multipotent progenitor cell,CL:0000837,lympho-myeloid progenitor cell (LMPP),,,"CD34, BCL11A, IL2RG, JCHAIN, SOX4, SYK",CD34,,HGNC:1662,BCL11A,,HGNC:13221,IL2RG,,HGNC:6010,JCHAIN,,HGNC:5713,SOX4,,HGNC:11200,SYK,,HGNC:11491,,,,,,,,,,,,,,,,,,,,,,CD2-,CD2,HGNC:1639,CD3-,CD3E,HGNC:1674,CD14-,CD14,HGNC:1628,CD16-,FCGR3A,HGNC:3619,CD19-,CD19,HGNC:1633,CD56-,NCAM1,HGNC:7656,CD235a-,GYPA,HGNC:4702,CD34+,CD34,HGNC:1662,CD38-,CD38,HGNC:1667,CD45RA+,PTPRC,HGNC:9666,,,,,,,,,,,DOI: 10.1038/ni.1889,
Bone marrow,Bone marrow,UBERON:0002371,hemopoietic stem cell/multipotent progenitor (HSC/MPP),hematopoietic multipotent progenitor cell,CL:0000837,multipotent progenitor cell (MPP),hematopoietic multipotent progenitor cell,CL:0000837,"CD34, SPINK2, FLT3",CD34,,HGNC:1662,SPINK2,,HGNC:11245,FLT3,,HGNC:3765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CD2-,CD2,HGNC:1639,CD3-,CD3E,HGNC:1674,CD14-,CD14,HGNC:1628,CD16-,FCGR3A,HGNC:3619,CD19-,CD19,HGNC:1633,CD56-,NCAM1,HGNC:7656,CD235a-,GYPA,HGNC:4702,CD34hi,CD34,HGNC:1662,CD38-,CD38,HGNC:1667,CD45RA-,PTPRC,HGNC:9666,CD90-,THY1,HGNC:11801,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,monocyte,monocyte,CL:0000576,CD14 monocyte,CD14-positive monocyte,CL:0001054,"VCAN, CST3, CD14, S100A8, S100A9, FCN",VCAN,,HGNC:2464,CST3,,HGNC:2475,CD14,,HGNC:1628,S100A8,,HGNC:10498,S100A9,,HGNC:10499,FCN1,,HGNC:3623,,,,,,,,,,,,,,,,,,,,,,CD3-,CD3E,HGNC:1674,CD19-,CD19,HGNC:1633,CD56+,NCAM1,HGNC:7656,CD14-/lo,CD14,HGNC:1628,CD16+,FCGR3A,HGNC:3619,CX3CR1+,CX3CR1,HGNC:2558,CXCR4+,CXCR4,HGNC:2561,,,,,,,,,,,,,,,,,,,,,
