"Anatomical Structures, Cell Types and Biomarkers Table for Thymus v1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Maigan Brusko; Rebecca T. Beuschel; Andrea J. Radtke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-4331-2202; 0000-0002-3882-457X; 0000-0003-4379-8967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Sarah A. Teichmann; Jakub Abramson; Tom Taghon; Ellen Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-6294-6366; 0000-0002-1745-8996; 0000-0002-5781-0288; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,DOI: 10.1126/science.aay3224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM284.RFDC.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,05/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,CT/1,CT/1/LABEL,CT/1/ID,CT/1/NOTES,All Gene Biomarkers,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/4,BGene/4/LABEL,BGene/4/ID,BGene/5,BGene/5/LABEL,BGene/5/ID,BGene/6,BGene/6/LABEL,BGene/6/ID,BGene/7,BGene/7/LABEL,BGene/7/ID,BGene/8,BGene/8/LABEL,BGene/8/ID,BGene/9,BGene/9/LABEL,BGene/9/ID,BGene/10,BGene/10/LABEL,BGene/10/ID,All Protein Biomarkers,BProtein/1,BProtein/1/LABEL,BProtein/1/ID,BProtein/2,BProtein/2/LABEL,BProtein/2/ID,BProtein/3,BProtein/3/LABEL,BProtein/3/ID,BProtein/4,BProtein/4/LABEL,BProtein/4/ID,BProtein/5,BProtein/5/LABEL,BProtein/5/ID,BProtein/6,BProtein/6/LABEL,BProtein/6/ID,BProtein/7,BProtein/7/LABEL,BProtein/7/ID,BProtein/8,BProtein/8/LABEL,BProtein/8/ID,BProtein/9,BProtein/9/LABEL,BProtein/9/ID,BProtein/10,BProtein/10/LABEL,BProtein/10/ID,FTU/1,FTU/1/LABEL,FTU/1/ID,REF/1,REF/1/DOI,REF/1/NOTES,REF/2,REF/2/DOI,REF/2/NOTES,REF/3,REF/3/DOI,REF/3/NOTES,REF/4,REF/4/DOI,REF/4/NOTES
thoracic thymus,thymus,UBERON:0002370,capsule of thymus,capsule of thymus,UBERON:0002122,thymus trabecula,thymus trabecula,UBERON:0004791,nerve,nerve,UBERON:0001021,parasympathetic cholinergic nerve,parasympathetic cholinergic nerve,UBERON:8410062,,,,,,,Added new term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acetylcholinesterase (AChE)+,AChE+,ACHE,HGNC:108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mignini F, Sabbatini M, Mattioli L, Cosenza M, Artico M, Cavallotti C. Neuro-immune modulation of the thymus microenvironment (review). Int J Mol Med. 2014 Jun;33(6):1392-400.",DOI: 10.3892/ijmm.2014.1709,AS,,,,,,,,,
thoracic thymus,thymus,UBERON:0002370,capsule of thymus,capsule of thymus,UBERON:0002122,thymus trabecula,thymus trabecula,UBERON:0004791,thymic artery,thymic artery,UBERON:0018243,,,,,,,blood endothelial cell,blood vessel endothelial cell,CL:0000071,,"A2M, AQP1, BCAM, IFI27, NPDC1, PLVAP, RAMP2, RNASE1, SPARCL1, TM4SF1",A2M,A2M,HGNC:7,AQP1,AQP1,HGNC:633,BCAM,BCAM,HGNC:6722,IFI27,IFI27,HGNC:5397,NPDC1,NPDC1,HGNC:7899,PLVAP,PLVAP,HGNC:13635,RAMP2,RAMP2,HGNC:9844,RNASE1,RNASE1,HGNC:10044,SPARCL1,SPARCL1,HGNC:11220,TM4SF1,TM4SF1,HGNC:11853,CD31+,CD31+,PECAM,HGNC:8823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Park JE, Botting RA, Domínguez Conde C, Popescu DM, Lavaert M, Kunz DJ, Goh I, Stephenson E, Ragazzini R, Tuck E, Wilbrey-Clark A, Roberts K, Kedlian VR, Ferdinand JR, He X, Webb S, Maunder D, Vandamme N, Mahbubani KT, Polanski K, Mamanova L, Bolt L, Crossland D, de Rita F, Fuller A, Filby A, Reynolds G, Dixon D, Saeb-Parsy K, Lisgo S, Henderson D, Vento-Tormo R, Bayraktar OA, Barker RA, Meyer KB, Saeys Y, Bonfanti P, Behjati S, Clatworthy MR, Taghon T, Haniffa M, Teichmann SA. A cell atlas of human thymic development defines T cell repertoire formation. Science. 2020 Feb 21;367(6480):eaay3224.",DOI: 10.1126/science.aay3224,"AS-CT, CT-B","Pearse G. Normal structure, function and histology of the thymus. Toxicol Pathol. 2006;34(5):504-14. doi: 10.1080/01926230600865549. PMID: 17067941.",DOI: 10.1080/01926230600865549,AS-CT,,,,,,
thoracic thymus,thymus,UBERON:0002370,capsule of thymus,capsule of thymus,UBERON:0002122,thymus trabecula,thymus trabecula,UBERON:0004791,nerve,nerve,UBERON:0001021,,,,,,,sympathetic noradrenergic nerve,sympathetic noradrenergic neuron,CL:3000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrosine hydroxylase (TH)+,TH+,TH,HGNC:11782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mignini F, Sabbatini M, Mattioli L, Cosenza M, Artico M, Cavallotti C. Neuro-immune modulation of the thymus microenvironment (review). Int J Mol Med. 2014 Jun;33(6):1392-400.",DOI: 10.3892/ijmm.2014.1709,AS,,,,,,,,,
thoracic thymus,thymus,UBERON:0002370,capsule of thymus,capsule of thymus,UBERON:0002122,thymus trabecula,thymus trabecula,UBERON:0004791,,,,,,,,,,erythroid,erythroid lineage cell,CL:0000764,,"AHSP, ALAS2, BLVRB, FAM178B, HBA1, HBA2, HBB, HBG1, HBG2, HBM",AHSP,AHSP,HGNC:18075,ALAS2,ALAS2,HGNC:397,BLVRB,BLVRB,HGNC:1063,FAM178B,FAM178B,HGNC:28036,HBA1,HBA1,HGNC:4823,HBA2,HBA2,HGNC:4824,HBB,HBB,HGNC:4827,HBG1,HBG1,HGNC:4831,HBG2,HBG2,HGNC:4832,HBM,HBM,HGNC:4826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Park JE, Botting RA, Domínguez Conde C, Popescu DM, Lavaert M, Kunz DJ, Goh I, Stephenson E, Ragazzini R, Tuck E, Wilbrey-Clark A, Roberts K, Kedlian VR, Ferdinand JR, He X, Webb S, Maunder D, Vandamme N, Mahbubani KT, Polanski K, Mamanova L, Bolt L, Crossland D, de Rita F, Fuller A, Filby A, Reynolds G, Dixon D, Saeb-Parsy K, Lisgo S, Henderson D, Vento-Tormo R, Bayraktar OA, Barker RA, Meyer KB, Saeys Y, Bonfanti P, Behjati S, Clatworthy MR, Taghon T, Haniffa M, Teichmann SA. A cell atlas of human thymic development defines T cell repertoire formation. Science. 2020 Feb 21;367(6480):eaay3224.",DOI: 10.1126/science.aay3224,CT-B,"Kendall MD, Singh J. The presence of erythroid cells in the thymus gland of man. J Anat. 1980 Jan;130(Pt 1):183-9.",No DOI,AS-CT,,,,,,
thoracic thymus,thymus,UBERON:0002370,capsule of thymus,capsule of thymus,UBERON:0002122,thymus trabecula,thymus trabecula,UBERON:0004791,,,,,,,,,,mast cell,mast cell,CL:0000097,,"CPA3, GATA2, HDC, HPGDS, IL1RL1, LMO4, PLIN2, TNFSF10, TPSAB1, TPSB2",CPA3,CPA3,HGNC:2298,GATA2,GATA2,HGNC:4171,HDC,HDC,HGNC:21041,HPGDS,HPGDS,HGNC:17890,IL1RL1,IL1RL1,HGNC:5998,LMO4,LMO4,HGNC:6644,PLIN2,PLIN2,HGNC:248,TNFSF10,TNFSF10,HGNC:11925,TPSAB1,TPSAB1,HGNC:12019,TPSB2,TPSB2,HGNC:14120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suster, Saul M.D.; Rosai, Juan M.D. Histology of the Normal Thymus, The American Journal of Surgical Pathology: March 1990 - Volume 14 - Issue 3 - p 284-303",DOI: 10.1097/00000478-199003000-00010,AS-CT,"Park JE, Botting RA, Domínguez Conde C, Popescu DM, Lavaert M, Kunz DJ, Goh I, Stephenson E, Ragazzini R, Tuck E, Wilbrey-Clark A, Roberts K, Kedlian VR, Ferdinand JR, He X, Webb S, Maunder D, Vandamme N, Mahbubani KT, Polanski K, Mamanova L, Bolt L, Crossland D, de Rita F, Fuller A, Filby A, Reynolds G, Dixon D, Saeb-Parsy K, Lisgo S, Henderson D, Vento-Tormo R, Bayraktar OA, Barker RA, Meyer KB, Saeys Y, Bonfanti P, Behjati S, Clatworthy MR, Taghon T, Haniffa M, Teichmann SA. A cell atlas of human thymic development defines T cell repertoire formation. Science. 2020 Feb 21;367(6480):eaay3224.",DOI: 10.1126/science.aay3224,CT-B,,,,,,
thoracic thymus,thymus,UBERON:0002370,capsule of thymus,capsule of thymus,UBERON:0002122,thymus trabecula,thymus trabecula,UBERON:0004791,,,,,,,,,,eosinophil,eosinophil,CL:0000771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CD33+, Eosinophil Major Basic Protein+, IDO+",CD33+,CD33,HGNC:1659,Eosinophil Major Basic Protein+,PRG2,HGNC:9362,IDO+,IDO1,HGNC:6059,,,,,,,,,,,,,,,,,,,,,,,,,"Suster, Saul M.D.; Rosai, Juan M.D. Histology of the Normal Thymus, The American Journal of Surgical Pathology: March 1990 - Volume 14 - Issue 3 - p 284-303",DOI: 10.1097/00000478-199003000-00010,AS-CT,"Lee I, Yu E, Good RA, Ikehara S. Presence of eosinophilic precursors in the human thymus: evidence for intra-thymic differentiation of cells in eosinophilic lineage. Pathol Int. 1995 Sep;45(9):655-62. doi: 10.1111/j.1440-1827.1995.tb03518.x. PMID: 8548038.",DOI: 10.1111/j.1440-1827.1995.tb03518.x.,"AS-CT, CT-B","Tulic MK, Sly PD, Andrews D, Crook M, Davoine F, Odemuyiwa SO, Charles A, Hodder ML, Prescott SL, Holt PG, Moqbel R. Thymic indoleamine 2,3-dioxygenase-positive eosinophils in young children: potential role in maturation of the naive immune system. Am J Pathol. 2009 Nov;175(5):2043-52.",DOI: 10.2353/ajpath.2009.090015,CT-B,,,
thoracic thymus,thymus,UBERON:0002370,thymus lobe,thymus lobe,UBERON:0005483,thymus lobule,thymus lobule,UBERON:0002125,thymus subcapsular epithelium,thymus subcapsular epithelium,UBERON:0006936,thymus epithelium,thymus epithelium,UBERON:0003846,,,,subcapsular cortical epithelial cell,subcapsular thymic epithelial cell,CL:0009077,Added new term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thymosin alpha-1+, Thymosin beta-4+",Thymosin alpha-1+,PTMA,HGNC:9623,Thymosin beta-4+,TMSB4X,HGNC:11881,,,,,,,,,,,,,,,,,,,,,,,,,thymus lobule,thymus lobule,UBERON:0002125,Haynes BF. The human thymic microenvironment. Adv Immunol. 1984;36:87-142.,DOI: 10.1016/s0065-2776(08)60900-1,AS-CT,,,,,,,,,
thoracic thymus,thymus,UBERON:0002370,thymus lobe,thymus lobe,UBERON:0005483,thymus lobule,thymus lobule,UBERON:0002125,thymus subcapsular epithelium,thymus subcapsular epithelium,UBERON:0006936,,,,,,,early thymic progenitor,early T lineage precursor,CL:0002425,,"BCL11B, CD7, CD19, CD34, CD44, CD79B, GATA3, IRF8, MPO, SPI1",BCL11B,BCL11B,HGNC:13222,CD7,CD7,HGNC:1695,CD19,CD19,HGNC:1633,CD34,CD34,HGNC:1662,CD44,CD44,HGNC:1681,CD79B,CD79B,HGNC:1699,GATA3,GATA3,HGNC:1699,IRF8,IRF8,HGNC:5358,MPO,MPO,HGNC:7218,SPI1,SPI1,HGNC:11241,"CD7+, CD34+/-",CD7+,CD7,HGNC:1695,CD34+/-,CD34,HGNC:1662,,,,,,,,,,,,,,,,,,,,,,,,,thymus lobule,thymus lobule,UBERON:0002125,"Lavaert M, Liang KL, Vandamme N, Park JE, Roels J, Kowalczyk MS, Li B, Ashenberg O, Tabaka M, Dionne D, Tickle TL, Slyper M, Rozenblatt-Rosen O, Vandekerckhove B, Leclercq G, Regev A, Van Vlierberghe P, Guilliams M, Teichmann SA, Saeys Y, Taghon T. Integrated scRNA-Seq Identifies Human Postnatal Thymus Seeding Progenitors and Regulatory Dynamics of Differentiating Immature Thymocytes. Immunity. 2020 Jun 16;52(6):1088-1104.e6. doi: 10.1016/j.immuni.2020.03.019. Epub 2020 Apr 17. PMID: 32304633.",DOI: 10.1016/j.immuni.2020.03.019,CT-B,"Marcovecchio GE, Bortolomai I, Ferrua F, Fontana E, Imberti L, Conforti E, Amodio D, Bergante S, Macchiarulo G, D'Oria V, Conti F, Di Cesare S, Fousteri G, Carotti A, Giamberti A, Poliani PL, Notarangelo LD, Cancrini C, Villa A, Bosticardo M. Thymic Epithelium Abnormalities in DiGeorge and Down Syndrome Patients Contribute to Dysregulation in T Cell Development. Front Immunol. 2019 Mar 15;10:447.",DOI: 10.3389/fimmu.2019.00447.,"AS-CT, CT-B",,,,,,
thoracic thymus,thymus,UBERON:0002370,thymus lobe,thymus lobe,UBERON:0005483,thymus lobule,thymus lobule,UBERON:0002125,thymus subcapsular epithelium,thymus subcapsular epithelium,UBERON:0006936,,,,,,,double negative thymocyte 2,specified double negative thymocyte,CL:0009081,Added new term,"BCL11B, CD3E, CD7, CD34, CD44, GATA3, MME, PTCRA, SPI1, TCF7",BCL11B,BCL11B,HGNC:13222,CD3E,CD3E,HGNC:1674,CD7,CD7,HGNC:1695,CD34,CD34,HGNC:1662,CD44,CD44,HGNC:1681,GATA3,GATA3,HGNC:1699,MME,MME,HGNC:7154,PTCRA,PTCRA,HGNC:21290,SPI1,SPI1,HGNC:11241,TCF7,TCF7,HGNC:11639,"CD5-, CD7+",CD5-,CD5,HGNC:1685,CD7+,CD7,HGNC:1695,,,,,,,,,,,,,,,,,,,,,,,,,thymus lobule,thymus lobule,UBERON:0002125,"Lavaert M, Liang KL, Vandamme N, Park JE, Roels J, Kowalczyk MS, Li B, Ashenberg O, Tabaka M, Dionne D, Tickle TL, Slyper M, Rozenblatt-Rosen O, Vandekerckhove B, Leclercq G, Regev A, Van Vlierberghe P, Guilliams M, Teichmann SA, Saeys Y, Taghon T. Integrated scRNA-Seq Identifies Human Postnatal Thymus Seeding Progenitors and Regulatory Dynamics of Differentiating Immature Thymocytes. Immunity. 2020 Jun 16;52(6):1088-1104.e6. doi: 10.1016/j.immuni.2020.03.019. Epub 2020 Apr 17. PMID: 32304633.",DOI: 10.1016/j.immuni.2020.03.019,CT-B,"Marcovecchio GE, Bortolomai I, Ferrua F, Fontana E, Imberti L, Conforti E, Amodio D, Bergante S, Macchiarulo G, D'Oria V, Conti F, Di Cesare S, Fousteri G, Carotti A, Giamberti A, Poliani PL, Notarangelo LD, Cancrini C, Villa A, Bosticardo M. Thymic Epithelium Abnormalities in DiGeorge and Down Syndrome Patients Contribute to Dysregulation in T Cell Development. Front Immunol. 2019 Mar 15;10:447.",DOI: 10.3389/fimmu.2019.00447.,"AS-CT, CT-B",,,,,,
thoracic thymus,thymus,UBERON:0002370,thymus lobe,thymus lobe,UBERON:0005483,thymus lobule,thymus lobule,UBERON:0002125,thymus subcapsular epithelium,thymus subcapsular epithelium,UBERON:0006936,,,,,,,double negative thymocyte 3,committed double negative thymocyte,CL:0009082,Added new term,"BCL11B, CD3E, CD7, CD34, GATA3, MME, PTCRA, RAG2, TCF7",BCL11B,BCL11B,HGNC:13222,CD3E,CD3E,HGNC:1674,CD7,CD7,HGNC:1695,CD34,CD34,HGNC:1662,GATA3,GATA3,HGNC:1699,MME,MME,HGNC:7154,PTCRA,PTCRA,HGNC:21290,RAG2,RAG2,HGNC:9832,TCF7,TCF7,HGNC:11639,,,,"CD5+, CD7+",CD5+,CD5,HGNC:1685,CD7+,CD7,HGNC:1695,,,,,,,,,,,,,,,,,,,,,,,,,thymus lobule,thymus lobule,UBERON:0002125,"Lavaert M, Liang KL, Vandamme N, Park JE, Roels J, Kowalczyk MS, Li B, Ashenberg O, Tabaka M, Dionne D, Tickle TL, Slyper M, Rozenblatt-Rosen O, Vandekerckhove B, Leclercq G, Regev A, Van Vlierberghe P, Guilliams M, Teichmann SA, Saeys Y, Taghon T. Integrated scRNA-Seq Identifies Human Postnatal Thymus Seeding Progenitors and Regulatory Dynamics of Differentiating Immature Thymocytes. Immunity. 2020 Jun 16;52(6):1088-1104.e6. doi: 10.1016/j.immuni.2020.03.019. Epub 2020 Apr 17. PMID: 32304633.",DOI: 10.1016/j.immuni.2020.03.019,CT-B,"Marcovecchio GE, Bortolomai I, Ferrua F, Fontana E, Imberti L, Conforti E, Amodio D, Bergante S, Macchiarulo G, D'Oria V, Conti F, Di Cesare S, Fousteri G, Carotti A, Giamberti A, Poliani PL, Notarangelo LD, Cancrini C, Villa A, Bosticardo M. Thymic Epithelium Abnormalities in DiGeorge and Down Syndrome Patients Contribute to Dysregulation in T Cell Development. Front Immunol. 2019 Mar 15;10:447.",DOI: 10.3389/fimmu.2019.00447.,"AS-CT, CT-B",,,,,,
thoracic thymus,thymus,UBERON:0002370,thymus lobe,thymus lobe,UBERON:0005483,thymus lobule,thymus lobule,UBERON:0002125,thymus subcapsular epithelium,thymus subcapsular epithelium,UBERON:0006936,,,,,,,double negative thymocyte 4,rearranging double negative thymocyte,CL:0009083,Added new term,"BCL11B, CD1A, CCD3E, CD7, DNTT, GATA3, MME, PTCCRA, RAG2, TCF7",BCL11B,BCL11B,HGNC:13222,CD1A,CD1A,HGNC:1634,CD3E,CD3E,HGNC:1674,CD7,CD7,HGNC:1695,DNTT,DNTT,HGNC:2983,GATA3,GATA3,HGNC:1699,MME,MME,HGNC:7154,PTCRA,PTCRA,HGNC:21290,RAG2,RAG2,HGNC:9832,TCF7,TCF7,HGNC:11639,"CD1a+, CD5+, CD7+",CD1a+,CD1A,HGNC:1634,CD5+,CD5,HGNC:1685,CD7+,CD7,HGNC:1695,,,,,,,,,,,,,,,,,,,,,,thymus lobule,thymus lobule,UBERON:0002125,"Lavaert M, Liang KL, Vandamme N, Park JE, Roels J, Kowalczyk MS, Li B, Ashenberg O, Tabaka M, Dionne D, Tickle TL, Slyper M, Rozenblatt-Rosen O, Vandekerckhove B, Leclercq G, Regev A, Van Vlierberghe P, Guilliams M, Teichmann SA, Saeys Y, Taghon T. Integrated scRNA-Seq Identifies Human Postnatal Thymus Seeding Progenitors and Regulatory Dynamics of Differentiating Immature Thymocytes. Immunity. 2020 Jun 16;52(6):1088-1104.e6. doi: 10.1016/j.immuni.2020.03.019. Epub 2020 Apr 17. PMID: 32304633.",DOI: 10.1016/j.immuni.2020.03.019,CT-B,"Marcovecchio GE, Bortolomai I, Ferrua F, Fontana E, Imberti L, Conforti E, Amodio D, Bergante S, Macchiarulo G, D'Oria V, Conti F, Di Cesare S, Fousteri G, Carotti A, Giamberti A, Poliani PL, Notarangelo LD, Cancrini C, Villa A, Bosticardo M. Thymic Epithelium Abnormalities in DiGeorge and Down Syndrome Patients Contribute to Dysregulation in T Cell Development. Front Immunol. 2019 Mar 15;10:447.",DOI: 10.3389/fimmu.2019.00447.,"AS-CT, CT-B",,,,,,
thoracic thymus,thymus,UBERON:0002370,thymus lobe,thymus lobe,UBERON:0005483,thymus lobule,thymus lobule,UBERON:0002125,thymus subcapsular epithelium,thymus subcapsular epithelium,UBERON:0006936,,,,,,,macrophage,thymic cortical macrophage,CL:0000883,,"APOE, C1QA, C1QB, C1QC, LGMN, MS4A7, RNASE1, SEPP1, SLC40A1, STAB1 (general macrophages)",APOE,APOE,HGNC:613,C1QA,C1QA,HGNC:1241,C1QB,C1QB,HGNC:1242,C1QC,C1QC,HGNC:1245,LGMN,LGMN,HGNC:9472,MS4A7,MS4A7,HGNC:13378,RNASE1,RNASE1,HGNC:10044,SELENOP,SELENOP,HGNC:10751,SLC40A1,SLC40A1,HGNC:10909,STAB1,STAB1,HGNC:18628,Thymosin beta-4+,Thymosin beta-4+,TMSB4X,HGNC:11881,,,,,,,,,,,,,,,,,,,,,,,,,,,,thymus lobule,thymus lobule,UBERON:0002125,Haynes BF. The human thymic microenvironment. Adv Immunol. 1984;36:87-142.,DOI: 10.1016/s0065-2776(08)60900-1,AS-CT,,,,,,,,,
thoracic thymus,thymus,UBERON:0002370,thymus lobe,thymus lobe,UBERON:0005483,thymus lobule,thymus lobule,UBERON:0002125,thymus subcapsular epithelium,thymus subcapsular epithelium,UBERON:0006936,nerve,nerve,UBERON:0001021,parasympathetic cholinergic nerve,parasympathetic cholinergic nerve,UBERON:8410062,,,,Added new term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acetylcholinesterase (AChE)+,AChE+,ACHE,HGNC:108,,,,,,,,,,,,,,,,,,,,,,,,,,,,thymus lobule,thymus lobule,UBERON:0002125,"Mignini F, Sabbatini M, Mattioli L, Cosenza M, Artico M, Cavallotti C. Neuro-immune modulation of the thymus microenvironment (review). Int J Mol Med. 2014 Jun;33(6):1392-400.",DOI: 10.3892/ijmm.2014.1709,AS,,,,,,,,,
thoracic thymus,thymus,UBERON:0002370,thymus lobe,thymus lobe,UBERON:0005483,thymus lobule,thymus lobule,UBERON:0002125,thymus subcapsular epithelium,thymus subcapsular epithelium,UBERON:0006936,thymic artery,thymic artery,UBERON:0018243,,,,blood endothelial cell,blood vessel endothelial cell,CL:0000071,,"A2M, AQP1, BCAM, IFI27, NPDC1, PLVAP, RAMP2, RNASE1, SPARCL1, TM4SF1",A2M,A2M,HGNC:7,AQP1,AQP1,HGNC:633,BCAM,BCAM,HGNC:6722,IFI27,IFI27,HGNC:5397,NPDC1,NPDC1,HGNC:7899,PLVAP,PLVAP,HGNC:13635,RAMP2,RAMP2,HGNC:9844,RNASE1,RNASE1,HGNC:10044,SPARCL1,SPARCL1,HGNC:11220,TM4SF1,TM4SF1,HGNC:11853,CD31+,CD31+,PECAM,HGNC:8823,,,,,,,,,,,,,,,,,,,,,,,,,,,,thymus lobule,thymus lobule,UBERON:0002125,"Park JE, Botting RA, Domínguez Conde C, Popescu DM, Lavaert M, Kunz DJ, Goh I, Stephenson E, Ragazzini R, Tuck E, Wilbrey-Clark A, Roberts K, Kedlian VR, Ferdinand JR, He X, Webb S, Maunder D, Vandamme N, Mahbubani KT, Polanski K, Mamanova L, Bolt L, Crossland D, de Rita F, Fuller A, Filby A, Reynolds G, Dixon D, Saeb-Parsy K, Lisgo S, Henderson D, Vento-Tormo R, Bayraktar OA, Barker RA, Meyer KB, Saeys Y, Bonfanti P, Behjati S, Clatworthy MR, Taghon T, Haniffa M, Teichmann SA. A cell atlas of human thymic development defines T cell repertoire formation. Science. 2020 Feb 21;367(6480):eaay3224.",DOI: 10.1126/science.aay3224,"AS-CT, CT-B","Pearse G. Normal structure, function and histology of the thymus. Toxicol Pathol. 2006;34(5):504-14. doi: 10.1080/01926230600865549. PMID: 17067941.",DOI: 10.1080/01926230600865549,AS-CT,,,,,,
thoracic thymus,thymus,UBERON:0002370,thymus lobe,thymus lobe,UBERON:0005483,thymus lobule,thymus lobule,UBERON:0002125,thymus subcapsular epithelium,thymus subcapsular epithelium,UBERON:0006936,nerve,nerve,UBERON:0001021,,,,sympathetic noradrenergic nerve,sympathetic noradrenergic neuron,CL:3000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrosine hydroxylase (TH)+,TH+,TH,HGNC:11782,,,,,,,,,,,,,,,,,,,,,,,,,,,,thymus lobule,thymus lobule,UBERON:0002125,"Mignini F, Sabbatini M, Mattioli L, Cosenza M, Artico M, Cavallotti C. Neuro-immune modulation of the thymus microenvironment (review). Int J Mol Med. 2014 Jun;33(6):1392-400.",DOI: 10.3892/ijmm.2014.1709,AS,,,,,,,,,
