"Anatomical Structures, Cell Types and Biomarkers Table for Liver v1.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,"Anna Maria Masci, Tim Kendall, Ayako Suzuki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0003-1940-6740; 0000-0002-4174-2786; 0000-0003-1824-1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Ioannis Vlachos; Z. Gordon Jiang; Luke Boulter; Ellen Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORCID(s):,0000-0002-8849-808X; 0000-0003-0495-9940; 0000-0002-7954-6705; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,DOI: 10.1111/imm.12888; DOI: 10.1053/j.gastro.2009.02.063; DOI: 10.3748/wjg.v12.i22.3523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM456.SLDZ.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,5/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,CT/1,CT/1/LABEL,CT/1/ID,CT/1/NOTES,Genes,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/1/NOTES,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/4,BGene/4/LABEL,BGene/4/ID,All protein biomarkers,BProtein/1,BProtein/1/LABEL,BProtein/1/ID,BProtein/2,BProtein/2/LABEL,BProtein/2/ID,BProtein/2/NOTES,BProtein/3,BProtein/3/LABEL,BProtein/3/ID,BProtein/4,BProtein/4/LABEL,BProtein/4/ID,BProtein/5,BProtein/5/LABEL,BProtein/5/ID,BProtein/6,BProtein/6/LABEL,BProtein/6/ID,BProtein/7,BProtein/7/LABEL,BProtein/7/ID,FTU/1,FTU/1/LABEL,FTU/1/ID,FTU/1/Comments,REF/1,REF/1/DOI,REF/1/NOTES,REF/2,REF/2/DOI,REF/2/NOTES,REF/3,REF/3/DOI,REF/3/NOTES,REF/4,REF/4/DOI,REF/4/NOTES
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,Canals of Hering,intralobular bile duct,UBERON:0001282,,,,hepatic oval cell ,Hepatic oval cell,CL:0002196,CL:1000036,"oval-6, Thy-1, CD117 ",OV-6 ANTIGEN,,,NOT FOUND,THY1,THY1,HGNC:11801,KIT,KIT,HGNC:6342,,,,,,,,,,,,,,,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,https://pubmed.ncbi.nlm.nih.gov/1997169/,,OV-6,https://pubmed.ncbi.nlm.nih.gov/18417531/,DOI: 10.1136/gut.2007.143321,Thy-1,https://pubmed.ncbi.nlm.nih.gov/11159894/,DOI: 10.1053/gast.2001.21175,CD117,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,Canals of Hering,intralobular bile duct,UBERON:0001282,,,,hepatic progenitor cell,,,pending ticket:hepatic oval cell  CL:1000036 will be replaced with Hepatic Progenitor Cell I request a term CL; CL:1000036 not sure will remain thee same,"Lgr5, Prom1, OPN1, Sox9",LGR5,LGR5,HGNC:4504,,PROM1,PROM1,HGNC:9454,OPN1,OPN1,HGNC:8148,SOx9,SOx9,HGNC:11204,EpCam(CD326),EPCAM,EPCAM,HGNC:11529,,,,,,,,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,https://pubmed.ncbi.nlm.nih.gov/23354049/,DOI: 10.1038/nature11826,LGR5,https://pubmed.ncbi.nlm.nih.gov/17585168/,DOI: 10.1634/stemcells.2007-0176,PROM1,https://pubmed.ncbi.nlm.nih.gov/21113154/,DOI: 10.1038/ng.722,SOX9,https://www.sciencedirect.com/science/article/pii/S0016508512012449,DOI: 10.1053/j.gastro.2012.08.024,OPN1
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,lymphatic vessel,,,,,,hepatic lymphatic endothelial cell,lymphatic endothelial cell,CL:0002138,CL:1000421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,,,,,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,stroma,liver stroma,UBERON:0016478,connective tissue,connective tissue,UBERON:0002384,,,,,,,,,,,,,,,,,,,"type I collagen, type III collagen, laminins in portal tract stroma. Collagen IV and laminin codistributed in basement membranes of portal and septal ductular and vascular structures, and in Space of Disse",COL1A2,COL1A2,HGNC:2198,COL3A1,,HGNC:2201,laminins in portal tract stroma,COL IV,COL4A1,HGNC:2202,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,,,,,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,Liver immune resident component,,,,,,conventional Dendritic cell,human Dendritic cell,CL_0001056,,,,,,,,,,,,,,,,"CD11c high; MHCII+, FLT3+, F4/80 neg, Csf-1R neg, CD64 neg",ITGAX,ITGAX,HGNC:6152,CD74,,HGNC:1697,,FLT3,FLT3,HGNC:3765,ADGRE1,ADGRE1,HGNC:3336,CSF1R,CSF1R,HGNC:2433,FCGR1A,FCGR1A,HGNC:3613,,,,hepatic Lobule,liver lobule,UBERON:0004647,,PMID: 29313948,DOI: 10.1111/imm.12888,,,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,Liver immune resident component,,,,,,Conventional DC 1,conventional dendritic cell,CL_0000990,,,,,,,,,,,,,,,,CD141+ (BDCA-3),THBD,THBD,HGNC:11784,,,,,,,,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,PMID: 29313948,DOI: 10.1111/imm.12888,,,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,Liver immune resident component,,,,,,Conventional DC 2,CD1c+ myeloid dendritic cell,CL_0002399,,,,,,,,,,,,,,,,CD1c (BDCA-1),CD1C,CD1C,HGNC:1636,,,,,,,,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,PMID: 29313948,DOI: 10.1111/imm.12888,,,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,Liver immune resident component,,,,,,plasmacytoid Dendritic cell,plasmacytoid dendritic cell,CL_0000784,,,,,,,,,,,,,,,,CD11c Neg,ITGAX,ITGAX,HGNC:6152,,,,,,,,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,PMID: 29313948,DOI: 10.1111/imm.12888,,,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,Liver immune resident component,,,,,,CD8 TRm (residence memory),,,,"HOBIT, BLIMP1",HOBIT,HOBIT,HGNC:28495,,ZNF683,ZNF683,HGNC:28495, BLIMP1,PRDM1,HGNC:9346,,,,"CD8, TCR alpha beta, CD69 and CD103",CD8A,CD8A,HGNC:1706,TRAC,TRAC,HGNC:12029,,CD69,CD69,HGNC:1694,ITGAE,ITGAE,HGNC:6147,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,,,,,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,Liver immune resident component,,,,,,CD4+T cell,CD4 positive alpha beta,CL_0000624,,,,,,,,,,,,,,,,"CD4, TCR alpha beta",CD4,CD4,HGNC:1678,TRAC,TRAC,HGNC:12029,,,,,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,,,,,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,Liver immune resident component,,,,,,gamma delta T cell,gamma delta T cell,CL_0000798,,,,,,,,,,,,,,,,"gamma delta TCR,CD27lo,CD45RAlo subset of V detla 1+ T, CD69, CXCR3, and CXCR6",gamma delta TCR,,,CD27lo,CD27,HGNC:11922 ,,CD45RAlo,CD45RA,HGNC:9666,,,,CD69,CD69,,CXCR3,CXCR3,HGNC:4540,CXCR6,CXCR6,HGNC:16647,hepatic Lobule,liver lobule,UBERON:0004647,,,,,,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,Liver immune resident component,,,,,,CD8+ Liver-Resident Memory T cell,CD8 positiver alpha beta memory T cell CD45RO +,CL_0001203,,,,,,,,,,,,,,,,"CXCR3 and CXCR6, CCR7, CD62L, KLF2, and S1PR1",CXCR3,CXCR3,HGNC:4540,CXCR6,CXCR6,HGNC:16647,,CCR7,CCR7,HGNC:1608,SELL,SELL,HGNC:10720,KLF2,KLF2,HGNC:6347,S1PR1,S1PR1,HGNC:3165,,,,hepatic Lobule,liver lobule,UBERON:0004647,,,,,,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,Liver immune resident component,,,,,,iNKT,Type I NK T cell,CL_0000921,,,,,,,,,,,,,,,,"TCR alpha beta,  V alpha24-J alpha18 (V beta 11),CD1d, CXCR6",TRAJ24,TRAJ24,HGNC:12053,TRAJ18,TRAJ18,HGNC:12046,,TRAV11,TRAV11,HGNC:12104,CD1D,CD1D,HGNC:1637,CXCR6,CXCR6,HGNC:16647,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,,,,,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,Liver immune resident component,,,,,,Eomes low Liver NK cell,,,Not found ; submitting NTR to add,T-bet hi Eomes lo,TBX21,TBX21,HGNC:11599,,eomes,eomes,HGNC:3372,,,,,,,"CD49a+, CD56bright, CD49a+, CD69+, CD103+, CXCR6-",ITGA1,ITGA1,HGNC:6134,NCAM1,NCAM1,HGNC:7656,,CD69,CD69,HGNC:1694,ITGAE,ITGAE,HGNC:6147,CXCR6,CXCR6,HGNC:16647,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,PMID: 28289707,DOI: 10.1172/jci.insight.90063,,,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,Liver immune resident component,,,,,,TBet low Liver NK cell,,,Not found ; submitting NTR to add,T-bet lo Eomes hi,TBX21,TBX21,HGNC:11599,,eomes,eomes,HGNC:3372,,,,,,,"Eomes hi CD56brightCD49a− CD69+
  CD103− CXCR6+",EOMES,EOMES,HGNC:3372,NCAM1,NCAM1,HGNC:7656,,ITGA1,ITGA1,HGNC:6134,CD69,CD69,HGNC:1694,ITGAE,ITGAE,HGNC:6147,CXCR6,CXCR6,HGNC:16647,,,,hepatic Lobule,liver lobule,UBERON:0004647,,PMID: 31333651 PMID: 28289707 PMID: 27798170,DOI: 10.3389/fimmu.2019.01502,,,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,Liver immune resident component,,,,,,NK,Natural killer Cell,CL_0000623,,T-bet+ Eomes hi,TBX21,TBX21,HGNC:11599,,eomes,eomes,HGNC:3372,,,,,,,CD49e− CD56bright CD69+ CXCR6+,ITGA1,ITGA1,HGNC:6134,NCAM1,NCAM1,HGNC:7656,,CD69,CD69,HGNC:1694,CXCR6,CXCR6,HGNC:16647,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,PMID: 28289707 PMID: 27798170,DOI: 10.3389/fimmu.2019.01502,,,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,Liver immune resident component,,,,,,Pit cell,hepatic Pit cell,CL_2000054,,CD49a+ T-bet+Eomes–,ITGA1,ITGA1,HGNC:6134,,TBX21,TBX21,HGNC:11599,eomes,eomes,HGNC:3372,,,,,,,,,,,,,,,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,,,,,,,,,,,,
