"Anatomical Structures, Cell Types and Biomarkers Table for Single Lobe Lung v1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Gloria Pryhuber; Xin Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-9185-3994; 0000-0001-8387-4966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Jeff Whitsett; Ed Morrisey; Martijn Nawijn; Purushotha Tata; Ansley Conchola; Kristin Ardlie;  Ellen Quardokus ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0003-1668-5174; 0000-0001-5785-1939;  0000-0003-3372-6521; 0000-0003-4837-0337; 0000-0002-2385-6712; 0000-0003-4272-6283; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"DOI: 10.1038/s41586-020-2922-4; DOI: 10.1152/physrev.00001.2018; DOI: 10.1038/s41586-018-0394-6; DOI:10.1172/jci.insight.90558; DOI: 10.1126/sciadv.aba1983; DOI: 10.7554/eLife.62522; DOI: 10.1164/rccm.201911-2199OC; Gray's Anatomy The Anatomical Basis of Clinical Practice ed.Standring, S. Elsevier. 2021 ISBN:978-0-7020-7705-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM396.QVLQ.449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,5/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/1/Notes,AS/2,AS/2/LABEL,AS/2/ID,AS/2/Notes,AS/3,AS/3/LABEL,AS/3/ID,AS/3/Notes,AS/4,AS/4/LABEL,AS/4/ID,AS/4/Notes,AS/5,AS/5/LABEL,AS/5/ID,AS/5/Notes,AS/6,AS/6/LABEL,AS/6/ID,AS/6/Notes,AS/7,AS/7/LABEL,AS/7/ID,AS/7/Notes,AS/8,AS/8/LABEL,AS/8/ID,AS/8/Notes,AS/9,AS/9/LABEL,AS/9/ID,AS/9/Notes,AS/10,AS/10/LABEL,AS/10/ID,AS/10/Notes,AS/11,AS/11/LABEL,AS/11/ID,AS/11/Notes,AS/12,AS/12/LABEL,AS/12/ID,AS/12/Notes,AS/13,AS/13/LABEL,AS/13/ID,AS/13/Notes,AS/14,AS/14/LABEL,AS/14/ID,AS/14/Notes,AS/15,AS/15/LABEL,AS/15/ID,AS/15/Notes,AS/16,AS/16/LABEL,AS/16/ID,AS/16/Notes,AS/17,AS/17/LABEL,AS/17/ID,AS/17/Notes,AS/18,AS/18/LABEL,AS/18/ID,AS/18/Notes,AS/19,AS/19/LABEL,AS/19/ID,AS/19/Notes,CT/1,CT/1/LABEL,CT/1/ID,CT/1/NOTES,CT/2,CT/2/LABEL,CT/2/ID,CT/2/NOTES,Ref/1,Ref/1/DOI,Ref/1/NOTES,AS-CT Notes,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/4,BGene/4/LABEL,BGene/4/ID,BGene/5,BGene/5/LABEL,BGene/5/ID,BGene/1/Notes,BProtein/1,BProtein/1/LABEL,BProtein/1/ID,BProtein/2,BProtein/2/LABEL,BProtein/2/ID,BProtein/3,BProtein/3/LABEL,BProtein/3/ID,BProtein/4,BProtein/4/LABEL,BProtein/4/ID,BProtein/5,BProtein/5/LABEL,BProtein/5/ID,BProtein/6,BProtein/6/LABEL,BProtein/6/ID,FTU/1,FTU/1/LABEL,FTU/1/ID,REF/2,REF/2/DOI
Respiratory System,Respiratory System,UBERON:0001004,,respiratory tract,respiratory tract,UBERON:0000065,,lower respiratory tract,lower respiratory tract,UBERON:0001558,,pair of lungs,pair of lungs,UBERON:0000170,,Lung,Lung,UBERON:0002048,,visceral pleura,visceral pleura,UBERON:0002401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mesothelial cell,mesothelial cell of visceral pleura,CL:1000493,,,,,,26150910,doi: 10.3978/j.issn.2072-1439.2015.02.19,"Batra H, Antony VB. Pleural mesothelial cells in pleural and lung diseases. J Thorac Dis. 2015;7(6):964-80.",,WT1,WT1 transcription factor,HGNC:12796,FGF9,fibroblast growth factor 9,HGNC:3687,MSLN,mesothelin,HGNC:7371,UPK3B,uroplakin 3B,HGNC:21444,,,,,WT1,WT1 transcription factor,HGNC:12796,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,,respiratory tract,respiratory tract,UBERON:0000065,,lower respiratory tract,lower respiratory tract,UBERON:0001558,,pair of lungs,pair of lungs,UBERON:0000170,,Lung,Lung,UBERON:0002048,,Lung Lobe,Lobe of Lung,UBERON:0000101,,Secondary Bronchus,lobar bronchus,UBERON:0002183,,lobar bronchial epithelium,epithelium of lobar bronchus,UBERON:0002339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciliated bronchial cell,ciliated cell of the bronchus,CL:0002332,,,,,,31922198,doi: 10.1042/BST20191010.,"Zaragosi LE, Deprez M, Barbry P. Using single-cell RNA sequencing to unravel cell lineage relationships in the respiratory tract. Biochem Soc Trans. 2020;48(1):327-36.",,FOXJ1,forkhead box J1,HGNC:3816,RSPH1,radial spoke head component 1,HGNC:12371,DYNLRB2,dynein light chain roadblock-type 2,HGNC:15467,TUBB4B,tubulin beta 4B class IVb,HGNC:20771,,,,,FOXJ1,forkhead box J1,HGNC:3816,CDHR3,cadherin related family member 3,HGNC:26308,CDHR4,cadherin related family member 4,HGNC:34527,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,,respiratory tract,respiratory tract,UBERON:0000065,,lower respiratory tract,lower respiratory tract,UBERON:0001558,,pair of lungs,pair of lungs,UBERON:0000170,,Lung,Lung,UBERON:0002048,,Lung Lobe,Lobe of Lung,UBERON:0000101,,Secondary Bronchus,lobar bronchus,UBERON:0002183,,lobar bronchial epithelium,epithelium of lobar bronchus,UBERON:0002339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,airway deuterosomal cell,,,Adding to CL,,,,,31922198,doi: 10.1042/BST20191010.,"Zaragosi LE, Deprez M, Barbry P. Using single-cell RNA sequencing to unravel cell lineage relationships in the respiratory tract. Biochem Soc Trans. 2020;48(1):327-36.",,DEUP1,deuterosome assembly protein 1,HGNC:26344,FOXN4,forkhead box N4,HGNC:21399,CDC20B,cell division cycle 20B,HGNC:24222,,,,,,,,FOXJ1,forkhead box J1,HGNC:3816,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,,respiratory tract,respiratory tract,UBERON:0000065,,lower respiratory tract,lower respiratory tract,UBERON:0001558,,pair of lungs,pair of lungs,UBERON:0000170,,Lung,Lung,UBERON:0002048,,Lung Lobe,Lobe of Lung,UBERON:0000101,,Secondary Bronchus,lobar bronchus,UBERON:0002183,,lobar bronchial epithelium,epithelium of lobar bronchus,UBERON:0002339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basal cell,basal epithelial cell of tracheobronchial tree,CL:0002329,,,,,,31922198,doi: 10.1042/BST20191010.,"Zaragosi LE, Deprez M, Barbry P. Using single-cell RNA sequencing to unravel cell lineage relationships in the respiratory tract. Biochem Soc Trans. 2020;48(1):327-36.",,TP63,tumor protein p63,HGNC:15979,KRT5,keratin 5,HGNC:6442,,,,,,,,,,,TP63,tumor protein p63,HGNC:15979,KRT5,keratin 5,HGNC:6442,NGFR,nerve growth factor,HGNC:7809,TRPC6,transient receptor potential cation channel subfamily C member 6,HGNC:12338,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,,respiratory tract,respiratory tract,UBERON:0000065,,lower respiratory tract,lower respiratory tract,UBERON:0001558,,pair of lungs,pair of lungs,UBERON:0000170,,Lung,Lung,UBERON:0002048,,Lung Lobe,Lobe of Lung,UBERON:0000101,,Secondary Bronchus,lobar bronchus,UBERON:0002183,,lobar bronchial epithelium,epithelium of lobar bronchus,UBERON:0002339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suprabasal cell,,,Adding to CL,,,,,31922198,doi: 10.1042/BST20191010.,"Zaragosi LE, Deprez M, Barbry P. Using single-cell RNA sequencing to unravel cell lineage relationships in the respiratory tract. Biochem Soc Trans. 2020;48(1):327-36.",,TP63,tumor protein p63,HGNC:15979,KRT5,keratin 5,HGNC:6442,NGFR,nerve growth factor receptor,HGNC:7809,KRT19,keratin 19,HGNC:6436,NOTCH3,notch receptor 3,HGNC:7883,,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,,respiratory tract,respiratory tract,UBERON:0000065,,lower respiratory tract,lower respiratory tract,UBERON:0001558,,pair of lungs,pair of lungs,UBERON:0000170,,Lung,Lung,UBERON:0002048,,Lung Lobe,Lobe of Lung,UBERON:0000101,,Secondary Bronchus,lobar bronchus,UBERON:0002183,,lobar bronchial epithelium,epithelium of lobar bronchus,UBERON:0002339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,airway deuterosomal cell,,,Adding to CL,,,,,31922198,doi: 10.1042/BST20191010.,"Zaragosi LE, Deprez M, Barbry P. Using single-cell RNA sequencing to unravel cell lineage relationships in the respiratory tract. Biochem Soc Trans. 2020;48(1):327-36.",,DEUP1,deuterosome assembly protein 1,HGNC:26344,FOXN4,forkhead box N4,HGNC:21399,CDC20B,cell division cycle 20B,HGNC:24222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,,respiratory tract,respiratory tract,UBERON:0000065,,lower respiratory tract,lower respiratory tract,UBERON:0001558,,pair of lungs,pair of lungs,UBERON:0000170,,Lung,Lung,UBERON:0002048,,Lung Lobe,Lobe of Lung,UBERON:0000101,,Secondary Bronchus,lobar bronchus,UBERON:0002183,,lobar bronchial epithelium,epithelium of lobar bronchus,UBERON:0002339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronchial goblet cell,lung goblet cell,CL:1000143,,,,,,33608655,doi: 10.1038/s41385-020-00370-7,"Davis JD, Wypych TP. Cellular and functional heterogeneity of the airway epithelium. Mucosal Immunol. 2021;14(5):978-90.",,MUC5AC,"mucin 5AC, oligomeric mucus/gel-forming",HGNC:7515,SPDEF,SAM pointed domain containing ETS transcription factor,HGNC:17257,MUC5B,"mucin 5B, oligomeric mucus/gel-forming",HGNC:7516,TFF2,trefoil factor 2,HGNC:11756,AGR2,"anterior gradient 2, protein disulphide isomerase family member",HGNC:328,,AGR2,"anterior gradient 2, protein disulphide isomerase family member",HGNC:328,MUC5AC,"mucin 5AC, oligomeric mucus/gel-forming",HGNC:7515,SLC4A11,solute carrier family 4 member 11,HGNC:16438,PCDH7,protocadherin 7,HGNC:8659 ,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,,respiratory tract,respiratory tract,UBERON:0000065,,lower respiratory tract,lower respiratory tract,UBERON:0001558,,pair of lungs,pair of lungs,UBERON:0000170,,Lung,Lung,UBERON:0002048,,Lung Lobe,Lobe of Lung,UBERON:0000101,,Secondary Bronchus,lobar bronchus,UBERON:0002183,,lobar bronchial epithelium,epithelium of lobar bronchus,UBERON:0002339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neuroendocrine cell,lung neuroendocrine cell,CL:1000223,,,,,,29599193,doi: 10.1126/science.aan8546,"Sui P, Wiesner DL, Xu J, Zhang Y, Lee J, Van Dyken S, Lashua A, Yu C, Klein BS, Locksley RM, Deutsch G, Sun X. Pulmonary neuroendocrine cells amplify allergic asthma responses. Science. 2018;360(6393).",,ASCL1,achaete-scute family bHLH transcription factor 1,HGNC:738,GRP,gastrin releasing peptide,HGNC:4605,CHGA,chromogranin A,HGNC:1929,CALCA,calcitonin related polypeptide alpha,HGNC:1437,,,,,CALCA,calcitonin related polypeptide alpha,HGNC:1437,GRP,gastrin releasing peptide,HGNC:4605,CDH18,cadherin 18,HGNC:1757,NRXN1,neurexin 1,HGNC:8008,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,,respiratory tract,respiratory tract,UBERON:0000065,,lower respiratory tract,lower respiratory tract,UBERON:0001558,,pair of lungs,pair of lungs,UBERON:0000170,,Lung,Lung,UBERON:0002048,,Lung Lobe,Lobe of Lung,UBERON:0000101,,Secondary Bronchus,lobar bronchus,UBERON:0002183,,lobar bronchial epithelium,epithelium of lobar bronchus,UBERON:0002339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tuft cell,brush cell of bronchus,CL:0002208,,,,,,31953256,doi: 10.1126/sciimmunol.aax7224,"Ualiyeva S, Hallen N, Kanaoka Y, Ledderose C, Matsumoto I, Junger WG, Barrett NA, Bankova LG. Airway brush cells generate cysteinyl leukotrienes through the ATP sensor P2Y2. Sci Immunol. 2020;5(43). ",,POU2F3,POU class 2 homeobox 3,HGNC:19864,ASCL2,achaete-scute family bHLH transcription factor 2,HGNC:739,TRPM5,transient receptor potential cation channel subfamily M member 5,HGNC:14323,DCLK1,doublecortin like kinase 1,HGNC:2700,,,,,POU2F3,POU class 2 homeobox 3,HGNC:19864,DCLK1,doublecortin like kinase 1,HGNC:2700,TRPM5,transient receptor potential cation channel subfamily M member 5,HGNC:14323,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,,respiratory tract,respiratory tract,UBERON:0000065,,lower respiratory tract,lower respiratory tract,UBERON:0001558,,pair of lungs,pair of lungs,UBERON:0000170,,Lung,Lung,UBERON:0002048,,Lung Lobe,Lobe of Lung,UBERON:0000101,,Secondary Bronchus,lobar bronchus,UBERON:0002183,,lobar bronchial epithelium,epithelium of lobar bronchus,UBERON:0002339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pulmonary ionocyte,pulmonary ionocyte,CL:0017000,,,,,,33419014,doi.org/10.1038/s41586-018-0394-6,"Plasschaert, L.W., Žilionis, R., Choo-Wing, R. et al. A single-cell atlas of the airway epithelium reveals the CFTR-rich pulmonary ionocyte. Nature 560, 377–381 (2018)",,ASCL3,achaete-scute family bHLH transcription factor 3,HGNC:740,FOXI1,forkhead box I1,HGNC:3815,ATP6V0B,ATPase H+ transporting V0 subunit b,HGNC:861,CFTR,CF transmembrane conductance regulator,HGNC:1884,,,,,CFTR,cystic fibrosis transmembrane conductance regulator,HGNC:1884,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,,respiratory tract,respiratory tract,UBERON:0000065,,lower respiratory tract,lower respiratory tract,UBERON:0001558,,pair of lungs,pair of lungs,UBERON:0000170,,Lung,Lung,UBERON:0002048,,Lung Lobe,Lobe of Lung,UBERON:0000101,,Secondary Bronchus,lobar bronchus,UBERON:0002183,,bronchial smooth muscle,bronchus smooth muscle,UBERON:0004242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,,,,,,28814293,doi: 10.1186/s12931-017-0640-8,"Salter B, Pray C, Radford K, Martin JG, Nair P. Regulation of human airway smooth muscle cell migration and relevance to asthma. Respir Res. 2017;18(1):156.",,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,LGR6,leucine rich repeat containing G protein-coupled receptor 6,HGNC:19719,MYH11,myosin heavy chain 11,HGNC:7569,,,,,,,,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,TAGLN,transgelin,HGNC:11553,LGR6,leucine rich repeat containing G protein-coupled receptor 6,HGNC:19719,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,,respiratory tract,respiratory tract,UBERON:0000065,,lower respiratory tract,lower respiratory tract,UBERON:0001558,,pair of lungs,pair of lungs,UBERON:0000170,,Lung,Lung,UBERON:0002048,,Lung Lobe,Lobe of Lung,UBERON:0000101,,Secondary Bronchus,lobar bronchus,UBERON:0002183,,bronchial mesenchyme,lobar bronchus mesenchyme,UBERON:0004884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connective Tissue,,,,,,,,,,,,,,,,,,,,,,,,Connective Tissue,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,,respiratory tract,respiratory tract,UBERON:0000065,,lower respiratory tract,lower respiratory tract,UBERON:0001558,,pair of lungs,pair of lungs,UBERON:0000170,,Lung,Lung,UBERON:0002048,,Lung Lobe,Lobe of Lung,UBERON:0000101,,Secondary Bronchus,lobar bronchus,UBERON:0002183,,cartilagenous plate,cartilage of main bronchus,UBERON:0001102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chondrocyte,tracheobronchial chondrocyte,CL:0019002,,,,,,NA,doi: 10.1101/2021.11.26.470108,"Madissoon E, Oliver AJ, Kleshchevnikov V, Wilbrey-Clark A, Polanski K, Orsi AR, Mamanova L, Bolt L, Richoz N, Elmentaite R, Pett JP, Huang N, He P, Dabrowska M, Pritchard S, Tuck L, Prigmore E, Knights A, Oszlanczi A, Hunter A, Vieira SF, Patel M, Georgakopoulos N, Mahbubani K, Saeb-Parsy K, Clatworthy M, Bayraktar OA, Stegle O, Kumasaka N, Teichmann SA, Meyer KB. A spatial multi-omics atlas of the human lung reveals a novel immune cell survival niche. bioRxiv. 2021:2021.11.26.470108.",,COL2A1,collagen type II alpha 1 chain,HGNC:2200,,,,,,,,,,,,,,COL2A1,collagen type II alpha 1 chain,HGNC:2200,SOX9,SRY-box transcription factor 9,HGNC:11204,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,,respiratory tract,respiratory tract,UBERON:0000065,,lower respiratory tract,lower respiratory tract,UBERON:0001558,,pair of lungs,pair of lungs,UBERON:0000170,,Lung,Lung,UBERON:0002048,,Lung Lobe,Lobe of Lung,UBERON:0000101,,Secondary Bronchus,lobar bronchus,UBERON:0002183,,bronchial vessels,lobar bronchus vasculature,UBERON:0004889,,bronchial artery,bronchial artery,UBERON: 0002040,,respiratory system arterial endothelium,respiratory system arterial endothelium,UBERON:0004848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arterial endothelial cell,arterial endothelial cell,CL:1000413,,,,,,34030460,doi: 10.1161/CIRCULATIONAHA.120.052318. ,"Schupp JC, Adams TS, Cosme C, Jr., Raredon MSB, Yuan Y, Omote N, Poli S, Chioccioli M, Rose KA, Manning EP, Sauler M, DeIuliis G, Ahangari F, Neumark N, Habermann AC, Gutierrez AJ, Bui LT, Lafyatis R, Pierce RW, Meyer KB, Nawijn MC, Teichmann SA, Banovich NE, Kropski JA, Niklason LE, Pe'er D, Yan X, Homer RJ, Rosas IO, Kaminski N. Integrated Single-Cell Atlas of Endothelial Cells of the Human Lung. Circulation. 2021;144(4):286-302.",,EFNB2,ephrin B2,HGNC:3227,GJA5,gap junction protein alpha 5,HGNC:4279,BMX,BMX non-receptor tyrosine kinase,HGNC:1079,DKK2,dickkopf WNT signaling pathway inhibitor 2,HGNC:2892,,,,,VWF,von Willebrand factor,HGNC:12726,EFNB2,ephrin B2,HGNC:3227,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,,respiratory tract,respiratory tract,UBERON:0000065,,lower respiratory tract,lower respiratory tract,UBERON:0001558,,pair of lungs,pair of lungs,UBERON:0000170,,Lung,Lung,UBERON:0002048,,Lung Lobe,Lobe of Lung,UBERON:0000101,,Secondary Bronchus,lobar bronchus,UBERON:0002183,,bronchial vessels,lobar bronchus vasculature,UBERON:0004889,,bronchial artery,bronchial artery,UBERON: 0002040,,arterial system smooth muscle,respiratory system arterial smooth muscle,UBERON:0012416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vascular smooth muscle,blood vessel smooth muscle cell,CL:0019018,,,,,,9261247,10.1161/01.atv.17.7.1203,"Frid MG, Dempsey EC, Durmowicz AG, Stenmark KR. Smooth Muscle Cell Heterogeneity in Pulmonary and Systemic Vessels Importance in Vascular Disease",,NTRK3,neurotrophic receptor tyrosine kinase 3,HGNC:8033,NOTCH3,notch receptor 3,HGNC:7883,HEY2,hes related family bHLH transcription factor with YRPW motif 2,HGNC:4881,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,,,,,ACTA2,ACTA2,HGNC:130,ITGA7,integrin subunit alpha 7,HGNC:6143,NTRK3,neurotrophic receptor tyrosine kinase 3,HGNC:8033,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,,respiratory tract,respiratory tract,UBERON:0000065,,lower respiratory tract,lower respiratory tract,UBERON:0001558,,pair of lungs,pair of lungs,UBERON:0000170,,Lung,Lung,UBERON:0002048,,Lung Lobe,Lobe of Lung,UBERON:0000101,,Secondary Bronchus,lobar bronchus,UBERON:0002183,,bronchial vessels,lobar bronchus vasculature,UBERON:0004889,,bronchial vein,bronchial vein,UBERON:0001592,,respiratory system venous endothelium,respiratory system venous endothelium,UBERON:0004849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pulmonary venous endothelial cell,vein endothelial cell,CL:0002543,,,,,,34030460,doi: 10.1161/CIRCULATIONAHA.120.052318. ,"Schupp JC, Adams TS, Cosme C, Jr., Raredon MSB, Yuan Y, Omote N, Poli S, Chioccioli M, Rose KA, Manning EP, Sauler M, DeIuliis G, Ahangari F, Neumark N, Habermann AC, Gutierrez AJ, Bui LT, Lafyatis R, Pierce RW, Meyer KB, Nawijn MC, Teichmann SA, Banovich NE, Kropski JA, Niklason LE, Pe'er D, Yan X, Homer RJ, Rosas IO, Kaminski N. Integrated Single-Cell Atlas of Endothelial Cells of the Human Lung. Circulation. 2021;144(4):286-302.",,EFNB4,EPH receptor B4,HGNC:3395,Nr2F2,nuclear receptor subfamily 2 group F member 2,HGNC:7976,ACKR1,atypical chemokine receptor 1 (Duffy blood group),HGNC:4035,,,,,,,,VWF,von Willebrand factor,HGNC:12726,EMCN,endomucin,HGNC:16041,ACKR1,atypical chemokine receptor 1 (Duffy blood group),HGNC:4035,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,,respiratory tract,respiratory tract,UBERON:0000065,,lower respiratory tract,lower respiratory tract,UBERON:0001558,,pair of lungs,pair of lungs,UBERON:0000170,,Lung,Lung,UBERON:0002048,,Lung Lobe,Lobe of Lung,UBERON:0000101,,Secondary Bronchus,lobar bronchus,UBERON:0002183,,bronchial vessels,lobar bronchus vasculature,UBERON:0004889,,bronchial vein,bronchial vein,UBERON:0001592,,venous system smooth muscle,respiratory system venous smooth muscle,UBERON:0012418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vascular smooth muscle,blood vessel smooth muscle cell,CL:0019018,,,,,,9261247,10.1161/01.atv.17.7.1203,"Frid MG, Dempsey EC, Durmowicz AG, Stenmark KR. Smooth Muscle Cell Heterogeneity in Pulmonary and Systemic Vessels Importance in Vascular Disease",,NTRK3,neurotrophic receptor tyrosine kinase 3,HGNC:8033,NOTCH3,notch receptor 3,HGNC:7883,HEY2,hes related family bHLH transcription factor with YRPW motif 2,HGNC:4881,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,,,,,ACTA2,ACTA2,HGNC:130,ITGA7,integrin subunit alpha 7,HGNC:6143,NTRK3,neurotrophic receptor tyrosine kinase 3,HGNC:8033,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,,respiratory tract,respiratory tract,UBERON:0000065,,lower respiratory tract,lower respiratory tract,UBERON:0001558,,pair of lungs,pair of lungs,UBERON:0000170,,Lung,Lung,UBERON:0002048,,Lung Lobe,Lobe of Lung,UBERON:0000101,,Secondary Bronchus,lobar bronchus,UBERON:0002183,,bronchial submucosal gland,bronchial submucosal gland,UBERON:8410043,,ciliated ducts of bronchial submucosal gland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,submucosal gland ciliated duct cells,ciliated cell of terminal ciliated ducts of submucosal glands,LMHA:00142,,,,,,32427931,doi: 10.1038/s41467-020-16239-z,"Goldfarbmuren KC, Jackson ND, Sajuthi SP, Dyjack N, Li KS, Rios CL, Plender EG, Montgomery MT, Everman JL, Bratcher PE, Vladar EK, Seibold MA. Dissecting the cellular specificity of smoking effects and reconstructing lineages in the human airway epithelium. Nat Commun. 2020;11(1):2485.",,FOXJ1,forkhead box J1,HGNC:3816,TUBA1A,tubulin alpha 1a,HGNC:20766,DYNLRB2,dynein light chain roadblock-type 2,HGNC:15467,TUBB4B,tubulin beta 4B class IVb,HGNC:20771,RSPH1,radial spoke head component 1,HGNC:12371,,FOXJ1,forkhead box J1,HGNC:3816,TUBA1A,tubulin alpha 1a,HGNC:20766,,,,,,,,,,,,,,,,,
