"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","test__get_all_datasets_for_index_with_ontology_expansion","tests.unit.backend.layers.api","Tue Sep 23 22:26:09 UTC 2025","passed","Tue Sep 23 22:26:09 UTC 2025","TestDataset","test_portal_api","",""
"
        Calling PUT /datasets/:dataset_id  should fail if version IDs are used for unpublished collections or
        for referencing datasets
        ","11","test_from_link__403","tests.unit.backend.layers.api","Tue Sep 23 22:26:07 UTC 2025","passed","Tue Sep 23 22:26:07 UTC 2025","TestPutLink","test_curation_api","",""
"","0","test_invalid_characters_in_field[text\x01]","tests.unit.backend.layers.common","Tue Sep 23 22:26:12 UTC 2025","passed","Tue Sep 23 22:26:12 UTC 2025","","test_validation","",""
"Test that the create_atac_artifact method creates an artifact for the fragment.","0","test_fragment","tests.unit.processing","Tue Sep 23 22:27:34 UTC 2025","passed","Tue Sep 23 22:27:34 UTC 2025","TestCreateAtacArtifact","test_process_validate_atac","",""
"
        Test convert_coverage_to_cxg_array creates ATACDataProcessor and processes fragment file correctly.
        ","3","test__convert_coverage_to_cxg_array[cell_type_mapping1-organism_genome_pair1]","tests.unit.processing","Tue Sep 23 22:27:27 UTC 2025","passed","Tue Sep 23 22:27:27 UTC 2025","TestATACDataProcessor","test_atac_processing_utils","",""
"","41","test__delete_revision_collection_by_collection_version_id","tests.unit.backend.layers.api","Tue Sep 23 22:26:04 UTC 2025","passed","Tue Sep 23 22:26:04 UTC 2025","TestDeleteCollection","test_curation_api","",""
"Test _process_chromosome_worker handles invalid coordinates gracefully.","14","test__process_chromosome_worker_invalid_coordinates","tests.unit.processing","Tue Sep 23 22:27:28 UTC 2025","passed","Tue Sep 23 22:27:28 UTC 2025","TestATACDataProcessor","test_atac_processing_utils","",""
"","9","test__list_collection__ok","tests.unit.backend.layers.api","Tue Sep 23 22:26:08 UTC 2025","passed","Tue Sep 23 22:26:08 UTC 2025","TestCollection","test_portal_api","",""
"","21","test__get_unbpublished_revision__OK","tests.unit.backend.layers.api","Tue Sep 23 22:26:05 UTC 2025","passed","Tue Sep 23 22:26:05 UTC 2025","TestGetCollectionID","test_curation_api","",""
"
        Tests /curation/v1/datasets endpoint with different credentials and visibility filters.

        Test data setup:
        - published_collection_1: 2 datasets
        - published_collection_2: 1 dataset, other owner
        - published_collection_3: 1 dataset, previously revised and published
        - unpublished_collection_1: 3 datasets
        - unpublished_collection_2: 2 datasets, other owner
        - published_collection_1_revision: 3 datasets (one new, one modified)

        ","80","test_get_private_datasets_200","tests.unit.backend.layers.api","Tue Sep 23 22:26:06 UTC 2025","passed","Tue Sep 23 22:26:06 UTC 2025","TestGetDatasets","test_curation_api","",""
"","2","test__get_all_user_collections_for_index_requires_auth","tests.unit.backend.layers.api","Tue Sep 23 22:26:08 UTC 2025","passed","Tue Sep 23 22:26:08 UTC 2025","TestCollection","test_portal_api","",""
"","3","test_get_private_datasets_403","tests.unit.backend.layers.api","Tue Sep 23 22:26:06 UTC 2025","passed","Tue Sep 23 22:26:06 UTC 2025","TestGetDatasets","test_curation_api","",""
"","0","test__link__INVALID[other-https://]","tests.unit.backend.layers.common","Tue Sep 23 22:26:12 UTC 2025","passed","Tue Sep 23 22:26:12 UTC 2025","","test_validation","",""
"","3","test__list_collection_options__no_allow","tests.unit.backend.layers.api","Tue Sep 23 22:26:08 UTC 2025","passed","Tue Sep 23 22:26:08 UTC 2025","TestCollection","test_portal_api","",""
"","0","test__link__INVALID[other-google.com]","tests.unit.backend.layers.common","Tue Sep 23 22:26:12 UTC 2025","passed","Tue Sep 23 22:26:12 UTC 2025","","test_validation","",""
"validation will succeed, status will be updated, and fragment artifacts will be uploaded

        This covers cases where the collection is unpublished, and the datset is new.
        It also covers cases where the fragment is optional and present or required and present.
        ","1","test_new_fragment[https://www.dropbox.com/s/fake_location/test.h5ad?dl=0]","tests.unit.processing","Tue Sep 23 22:27:34 UTC 2025","passed","Tue Sep 23 22:27:34 UTC 2025","TestProcessValidateAtac","test_process_validate_atac","",""
"","8","test__convert_matrices_to_cxg_arrays__sparse_array_only_store_nonzeros_empty_array","tests.unit.processing","Tue Sep 23 22:27:28 UTC 2025","passed","Tue Sep 23 22:27:28 UTC 2025","TestCxgGenerationUtils","test_cxg_generation_utils","",""
"
        Test convert_coverage_to_cxg_array creates ATACDataProcessor and processes fragment file correctly.
        ","2","test__convert_coverage_to_cxg_array[cell_type_mapping1-organism_genome_pair0]","tests.unit.processing","Tue Sep 23 22:27:27 UTC 2025","passed","Tue Sep 23 22:27:27 UTC 2025","TestATACDataProcessor","test_atac_processing_utils","",""
"","0","test__link__INVALID[data_source-google]","tests.unit.backend.layers.common","Tue Sep 23 22:26:12 UTC 2025","passed","Tue Sep 23 22:26:12 UTC 2025","","test_validation","",""
"","12038","test__cube_query_params_for_expression_summary_cube","tests.unit.backend.wmg","Tue Sep 23 22:26:41 UTC 2025","passed","Tue Sep 23 22:26:53 UTC 2025","CensusCubeQueryParamsTest","test_query","",""
"
    Test the cropping method to ensure the image is cropped to a square
    ","1","test__crop_to_aspect_ratio[200-150]","tests.unit.processing","Tue Sep 23 22:27:41 UTC 2025","passed","Tue Sep 23 22:27:41 UTC 2025","","test_spatial_assets_utils","",""
"","0","test_type_inference[parameters2]","tests.unit.processing","Tue Sep 23 22:27:41 UTC 2025","passed","Tue Sep 23 22:27:41 UTC 2025","","test_type_conversion_utils","",""
"Test that deletion occurs when is_reprocess=True","8","test_copy_cxg_files_deletion_when_is_reprocess_true","tests.unit.processing","Tue Sep 23 22:27:37 UTC 2025","passed","Tue Sep 23 22:27:37 UTC 2025","ProcessingTest","test_processing","",""
"","397","test__query_all_indexed_dims_single_value__returns_correct_result","tests.unit.backend.wmg.api.common","Tue Sep 23 22:26:11 UTC 2025","passed","Tue Sep 23 22:26:12 UTC 2025","ExpressionDotPlotTest","test_expression_dotplot","",""
"Test sparse data pruning removes low normalized coverage records below threshold.","1","test__sparse_data_pruning","tests.unit.processing","Tue Sep 23 22:27:28 UTC 2025","passed","Tue Sep 23 22:27:28 UTC 2025","TestATACDataProcessor","test_atac_processing_utils","",""
"","9","test_patch_public_collection_dataset_not_authorized_403","tests.unit.backend.layers.api","Tue Sep 23 22:26:06 UTC 2025","passed","Tue Sep 23 22:26:06 UTC 2025","TestPatchDataset","test_curation_api","",""
"
        A published collection can be obtained using `get_collection`
        ","9","test_get_published_collection_version_for_published_collection_ok","tests.unit.backend.layers.business","Tue Sep 23 22:26:10 UTC 2025","passed","Tue Sep 23 22:26:10 UTC 2025","TestGetCollectionVersion","test_business","",""
"","1","test_type_inference[parameters88]","tests.unit.processing","Tue Sep 23 22:27:41 UTC 2025","passed","Tue Sep 23 22:27:41 UTC 2025","","test_type_conversion_utils","",""
"
        Calling PUT /datasets/:dataset_id should fail with 403 Unauthorized
        if trying to upload to a published collection
        ","12","test__from_link__Not_Public","tests.unit.backend.layers.api","Tue Sep 23 22:26:07 UTC 2025","passed","Tue Sep 23 22:26:07 UTC 2025","TestPutLink","test_curation_api","",""
"","3","test_has_valid_artifact_statuses__invalid_h5ad_status_0","tests.unit.processing","Tue Sep 23 22:27:29 UTC 2025","passed","Tue Sep 23 22:27:29 UTC 2025","TestValidArtifactStatuses","test_dataset_metadata_update","",""
"
        Test restoring a previous version of a collection
        ","21","test__restore_previous_collection_version","tests.unit.backend.layers.business","Tue Sep 23 22:26:12 UTC 2025","passed","Tue Sep 23 22:26:12 UTC 2025","TestCollectionUtilities","test_business","",""
"","1","test_type_inference[parameters23]","tests.unit.processing","Tue Sep 23 22:27:41 UTC 2025","passed","Tue Sep 23 22:27:41 UTC 2025","","test_type_conversion_utils","",""
"","6","test__regenerate_key__201","tests.unit.backend.layers.auth","Tue Sep 23 22:26:10 UTC 2025","passed","Tue Sep 23 22:26:10 UTC 2025","TestKeys","test_auth_keys","",""
"","7","test__collection_level_processing_status__SUCCESS","tests.unit.backend.layers.api","Tue Sep 23 22:26:04 UTC 2025","passed","Tue Sep 23 22:26:04 UTC 2025","TestGetCollections","test_curation_api","",""
"
        A super curator can upload a dataset to a non-owned collection
        ","5","test__can_upload_dataset_to_non_owned_collection_as_super_curator","tests.unit.backend.layers.api","Tue Sep 23 22:26:10 UTC 2025","passed","Tue Sep 23 22:26:10 UTC 2025","TestCollectionUploadLinkCurators","test_portal_api","",""
"","1","test_close_ready_for_prod_with_blocked_issues","tests.unit.scripts","Tue Sep 23 22:25:54 UTC 2025","passed","Tue Sep 23 22:25:54 UTC 2025","TestCloseReadyForProd","test_zenhub_close","",""
"Test that threshold=0 disables pruning.","0","test__sparse_data_pruning_threshold_zero","tests.unit.processing","Tue Sep 23 22:27:28 UTC 2025","passed","Tue Sep 23 22:27:28 UTC 2025","TestATACDataProcessor","test_atac_processing_utils","",""
"","0","test_type_inference[parameters66]","tests.unit.processing","Tue Sep 23 22:27:41 UTC 2025","passed","Tue Sep 23 22:27:41 UTC 2025","","test_type_conversion_utils","",""
"","0","test__link__OK[doi-https://www.google.com]","tests.unit.backend.layers.common","Tue Sep 23 22:26:12 UTC 2025","passed","Tue Sep 23 22:26:12 UTC 2025","","test_validation","",""
"","0","test__link__INVALID[other-://]","tests.unit.backend.layers.common","Tue Sep 23 22:26:12 UTC 2025","passed","Tue Sep 23 22:26:12 UTC 2025","","test_validation","",""
"","144","test_download","tests.unit.backend.layers.utils","Tue Sep 23 22:26:20 UTC 2025","passed","Tue Sep 23 22:26:20 UTC 2025","TestS3URI","test_uri","",""
"","205593","test__ontology_tree_builder","tests.unit.backend.cellguide.pipeline","Tue Sep 23 22:27:48 UTC 2025","passed","Tue Sep 23 22:31:14 UTC 2025","OntologyTreeBuilderTests","test_ontology_tree","",""
"","12","test__get_collections_no_auth_visibility_public__OK","tests.unit.backend.layers.api","Tue Sep 23 22:26:04 UTC 2025","passed","Tue Sep 23 22:26:04 UTC 2025","TestGetCollections","test_curation_api","",""
"","5","test__get_dataset_asset__OK","tests.unit.backend.layers.api","Tue Sep 23 22:26:09 UTC 2025","passed","Tue Sep 23 22:26:09 UTC 2025","TestDataset","test_portal_api","",""
"","2","test_generate_dataset_citation","tests.unit.backend.layers.business","Tue Sep 23 22:26:12 UTC 2025","passed","Tue Sep 23 22:26:12 UTC 2025","TestDatasetArtifactMetadataUpdates","test_business","",""
"","193","test_delete_from_s3_raises_error_for_missing_dataset_id","tests.unit.backend.layers.utils","Tue Sep 23 22:26:12 UTC 2025","passed","Tue Sep 23 22:26:13 UTC 2025","TestDeleteManyFromS3","test_aws","",""
"","50","test__create_h5ad_data_file__no_copy_if_var_index_name_already_in_columns","tests.unit.processing","Tue Sep 23 22:27:32 UTC 2025","passed","Tue Sep 23 22:27:32 UTC 2025","TestH5ADDataFile","test_h5ad_data_file","",""
