Description	Ensembl GeneIDs
CD8 antigen, alpha chain	ENSMUSG00000053977
choline acetyltransferase	ENSMUSG00000021919
eomesodermin	ENSMUSG00000032446
insulin-like growth factor 2	ENSMUSG00000048583
toll-like receptor 7	ENSMUSG00000044583
kit ligand	ENSMUSG00000019966
macrophage migration inhibitory factor (glycosylation-inhibiting factor)	ENSMUSG00000033307
neurofilament, medium polypeptide	ENSMUSG00000022054
collagen, type II, alpha 1	ENSMUSG00000022483
Fyn proto-oncogene	ENSMUSG00000019843
interleukin 13	ENSMUSG00000020383
insulin I	ENSMUSG00000035804
melanogenesis associated transcription factor	ENSMUSG00000035158
WT1 transcription factor	ENSMUSG00000016458
yes-associated protein 1	ENSMUSG00000053110
fibroblast growth factor receptor 1	ENSMUSG00000031565
GATA binding protein 4	ENSMUSG00000021944
lectin, galactose binding, soluble 3	ENSMUSG00000050335
serine (or cysteine) peptidase inhibitor, clade E, member 1	ENSMUSG00000037411
T-box 21	ENSMUSG00000001444
cholinergic receptor, nicotinic, alpha polypeptide 7	ENSMUSG00000030525
ras homolog family member A	ENSMUSG00000007815
calcium/calmodulin-dependent protein kinase II alpha	ENSMUSG00000024617
erb-b2 receptor tyrosine kinase 2	ENSMUSG00000062312
Fc receptor, IgG, low affinity IIb	ENSMUSG00000026656
fibronectin 1	ENSMUSG00000026193
solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	ENSMUSG00000020838
integrin alpha M	ENSMUSG00000030786
Janus kinase 2	ENSMUSG00000024789
neurofibromin 1	ENSMUSG00000020716
proliferating cell nuclear antigen	ENSMUSG00000027342
phosphoinositide-3-kinase regulatory subunit 1	ENSMUSG00000041417
dicer 1, ribonuclease type III	ENSMUSG00000041415
Rous sarcoma oncogene	ENSMUSG00000027646
transforming growth factor, beta receptor II	ENSMUSG00000032440
CD40 ligand	ENSMUSG00000031132
wingless-type MMTV integration site family, member 1	ENSMUSG00000022997
microRNA 155	ENSMUSG00000065397
RNA binding protein, fox-1 homolog (C. elegans) 3	ENSMUSG00000025576
TIR domain containing adaptor molecule 1	ENSMUSG00000047123
BCL2-like 11 (apoptosis facilitator)	ENSMUSG00000027381
Bruton agammaglobulinemia tyrosine kinase	ENSMUSG00000031264
cadherin 2	ENSMUSG00000024304
leucine rich repeat containing G protein coupled receptor 5	ENSMUSG00000020140
GATA binding protein 1	ENSMUSG00000031162
pancreatic and duodenal homeobox 1	ENSMUSG00000029644
ret proto-oncogene	ENSMUSG00000030110
superoxide dismutase 2, mitochondrial	ENSMUSG00000006818
signal transducer and activator of transcription 5A	ENSMUSG00000004043
wingless-type MMTV integration site family, member 3A	ENSMUSG00000009900
CD274 antigen	ENSMUSG00000016496
H2A.Z histone variant 2	ENSMUSG00000041126
DNA methyltransferase (cytosine-5) 1	ENSMUSG00000004099
NK2 homeobox 5	ENSMUSG00000015579
NPC intracellular cholesterol transporter 1	ENSMUSG00000024413
paired box 2	ENSMUSG00000004231
paired box 7	ENSMUSG00000028736
proteolipid protein (myelin) 1	ENSMUSG00000031425
vimentin	ENSMUSG00000026728
neuropeptide Y	ENSMUSG00000029819
immunoglobulin heavy chain complex	
ATP-binding cassette, sub-family A (ABC1), member 1	ENSMUSG00000015243
aquaporin 4	ENSMUSG00000024411
calcitonin/calcitonin-related polypeptide, alpha	ENSMUSG00000030669
CD1d1 antigen	ENSMUSG00000028076
suppressor of cytokine signaling 3	ENSMUSG00000053113
klotho	ENSMUSG00000058488
pro-opiomelanocortin-alpha	ENSMUSG00000020660
uncoupling protein 1 (mitochondrial, proton carrier)	ENSMUSG00000031710
oligodendrocyte transcription factor 2	ENSMUSG00000039830
activation-induced cytidine deaminase	ENSMUSG00000040627
calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	ENSMUSG00000034656
CCAAT/enhancer binding protein (C/EBP), alpha	ENSMUSG00000034957
circadian locomotor output cycles kaput	ENSMUSG00000029238
E2F transcription factor 1	ENSMUSG00000027490
enhancer of zeste 2 polycomb repressive complex 2 subunit	ENSMUSG00000029687
gonadotropin releasing hormone 1	ENSMUSG00000015812
glutamate receptor, ionotropic, AMPA1 (alpha 1)	ENSMUSG00000020524
inhibitor of kappaB kinase beta	ENSMUSG00000031537
achaete-scute family bHLH transcription factor 1	ENSMUSG00000020052
myostatin	ENSMUSG00000026100
progesterone receptor	ENSMUSG00000031870
protein kinase C, alpha	ENSMUSG00000050965
spleen focus forming virus (SFFV) proviral integration oncogene	ENSMUSG00000002111
rhodopsin	ENSMUSG00000030324
nuclear receptor subfamily 1, group H, member 3	ENSMUSG00000002108
wingless-type MMTV integration site family, member 5A	ENSMUSG00000021994
forkhead box O3	ENSMUSG00000048756
calbindin 2	ENSMUSG00000003657
solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6	ENSMUSG00000030500
Fc receptor, IgE, high affinity I, gamma polypeptide	ENSMUSG00000058715
glutamic acid decarboxylase 2	ENSMUSG00000026787
interleukin 12a	ENSMUSG00000027776
nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1	ENSMUSG00000033016
orthodenticle homeobox 2	ENSMUSG00000021848
nuclear receptor subfamily 1, group H, member 4	ENSMUSG00000047638
scavenger receptor class B, member 1	ENSMUSG00000037936
transformation related protein 63	ENSMUSG00000022510
transient receptor potential cation channel, subfamily A, member 1	ENSMUSG00000032769
cytotoxic T-lymphocyte-associated protein 4	ENSMUSG00000026011
fibroblast growth factor 10	ENSMUSG00000021732
GATA binding protein 3	ENSMUSG00000015619
GLI-Kruppel family member GLI3	ENSMUSG00000021318
hes family bHLH transcription factor 1	ENSMUSG00000022528
interferon beta 1, fibroblast	ENSMUSG00000048806
immunoglobulin heavy chain, joining region	
integrin beta 2	ENSMUSG00000000290
integrin beta 3	ENSMUSG00000020689
potassium inwardly-rectifying channel, subfamily J, member 6	ENSMUSG00000043301
msh homeobox 1	ENSMUSG00000048450
protein kinase C, delta	ENSMUSG00000021948
protein tyrosine phosphatase, non-receptor type 11	ENSMUSG00000043733
ghrelin	ENSMUSG00000064177
transient receptor potential cation channel, subfamily V, member 4	ENSMUSG00000014158
autophagy related 5	ENSMUSG00000038160
BCL2-like 1	ENSMUSG00000007659
breast cancer 1, early onset	ENSMUSG00000017146
chemokine (C-C motif) receptor 7	ENSMUSG00000037944
fibrillin 1	ENSMUSG00000027204
glutamate receptor, ionotropic, NMDA2B (epsilon 2)	ENSMUSG00000030209
interleukin 4 receptor, alpha	ENSMUSG00000030748
interleukin 7	ENSMUSG00000040329
SMAD family member 1	ENSMUSG00000031681
SMAD family member 4	ENSMUSG00000024515
transformed mouse 3T3 cell double minute 2	ENSMUSG00000020184
platelet derived growth factor receptor, beta polypeptide	ENSMUSG00000024620
recombination signal binding protein for immunoglobulin kappa J region	ENSMUSG00000039191
selectin, platelet	ENSMUSG00000026580
SRY (sex determining region Y)-box 10	ENSMUSG00000033006
autophagy related 7	ENSMUSG00000030314
protein kinase, AMP-activated, alpha 2 catalytic subunit	ENSMUSG00000028518
chemokine (C-C motif) receptor 5	ENSMUSG00000079227
jagged 1	ENSMUSG00000027276
lipocalin 2	ENSMUSG00000026822
lamin A	ENSMUSG00000028063
peroxisome proliferator activator receptor delta	ENSMUSG00000002250
survival motor neuron 1	ENSMUSG00000021645
serine/threonine kinase 11	ENSMUSG00000003068
NK2 homeobox 1	ENSMUSG00000001496
TSC complex subunit 1	ENSMUSG00000026812
Nanog homeobox	ENSMUSG00000012396
adrenergic receptor, beta 2	ENSMUSG00000045730
cell division cycle 42	ENSMUSG00000006699
cannabinoid receptor 2 (macrophage)	ENSMUSG00000062585
desmin	ENSMUSG00000026208
cellular communication network factor 2	ENSMUSG00000019997
glial cell line derived neurotrophic factor	ENSMUSG00000022144
H19, imprinted maternally expressed transcript	ENSMUSG00000000031
protein tyrosine phosphatase, non-receptor type 6	ENSMUSG00000004266
H2A.X variant histone	ENSMUSG00000049932
lymphotoxin A	ENSMUSG00000024402
SMAD family member 2	ENSMUSG00000024563
met proto-oncogene	ENSMUSG00000009376
neutrophil cytosolic factor 1	ENSMUSG00000015950
prospero homeobox 1	ENSMUSG00000010175
tenascin C	ENSMUSG00000028364
fibroblast growth factor 21	ENSMUSG00000030827
sirtuin 3	ENSMUSG00000025486
stimulator of interferon response cGAMP interactor 1	ENSMUSG00000024349
angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	ENSMUSG00000031980
CD80 antigen	ENSMUSG00000075122
chemokine (C-X-C motif) receptor 2	ENSMUSG00000026180
DNA methyltransferase 3A	ENSMUSG00000020661
dopamine receptor D1	ENSMUSG00000021478
early growth response 2	ENSMUSG00000037868
FMS-like tyrosine kinase 1	ENSMUSG00000029648
glutamate receptor, ionotropic, delta 2	ENSMUSG00000071424
hemoglobin beta chain complex	
hepatocyte growth factor	ENSMUSG00000028864
Harvey rat sarcoma virus oncogene	ENSMUSG00000025499
Kruppel-like factor 4 (gut)	ENSMUSG00000003032
L1 cell adhesion molecule	ENSMUSG00000031391
leukemia inhibitory factor	ENSMUSG00000034394
myogenic factor 5	ENSMUSG00000000435
myogenin	ENSMUSG00000026459
RAR-related orphan receptor alpha	ENSMUSG00000032238
neuregulin 1	ENSMUSG00000062991
T-box brain transcription factor 1	ENSMUSG00000035033
nucleotide-binding oligomerization domain containing 2	ENSMUSG00000055994
PYD and CARD domain containing	ENSMUSG00000030793
a disintegrin and metallopeptidase domain 17	ENSMUSG00000052593
axin 2	ENSMUSG00000000142
DNA-damage inducible transcript 3	ENSMUSG00000025408
EGF-like repeats and discoidin I-like domains 3	ENSMUSG00000034488
engrailed 1	ENSMUSG00000058665
coagulation factor II (thrombin) receptor-like 1	ENSMUSG00000021678
growth hormone receptor	ENSMUSG00000055737
interleukin 1 alpha	ENSMUSG00000027399
insulin receptor substrate 1	ENSMUSG00000055980
lymphoid enhancer binding factor 1	ENSMUSG00000027985
metallothionein 1	ENSMUSG00000031765
neuropilin 1	ENSMUSG00000025810
period circadian clock 1	ENSMUSG00000020893
polycystin 1, transient receptor potential channel interacting	ENSMUSG00000032855
plasminogen activator, tissue	ENSMUSG00000031538
pancreas specific transcription factor, 1a	ENSMUSG00000026735
inactive X specific transcripts	ENSMUSG00000086503
tight junction protein 1	ENSMUSG00000030516
parkin RBR E3 ubiquitin protein ligase	ENSMUSG00000023826
interleukin 22	ENSMUSG00000074695
receptor-interacting serine-threonine kinase 3	ENSMUSG00000022221
APOBEC1 complementation factor	ENSMUSG00000052595
bone morphogenetic protein 7	ENSMUSG00000008999
cyclin-dependent kinase 5	ENSMUSG00000028969
chemokine (C-X-C motif) receptor 3	ENSMUSG00000050232
collagen, type X, alpha 1	ENSMUSG00000039462
CREB binding protein	ENSMUSG00000022521
corticotropin releasing hormone	ENSMUSG00000049796
endothelin 1	ENSMUSG00000021367
endothelial PAS domain protein 1	ENSMUSG00000024140
heat shock protein 5	ENSMUSG00000026864
hepatic nuclear factor 4, alpha	ENSMUSG00000017950
heat shock protein 1B	ENSMUSG00000090877
indoleamine 2,3-dioxygenase 1	ENSMUSG00000031551
Indian hedgehog	ENSMUSG00000006538
interleukin 7 receptor	ENSMUSG00000003882
notch 2	ENSMUSG00000027878
ryanodine receptor 2, cardiac	ENSMUSG00000021313
T cell receptor alpha, joining region	
uncoupling protein 2 (mitochondrial, proton carrier)	ENSMUSG00000033685
phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	ENSMUSG00000020573
microRNA 21a	ENSMUSG00000065455
zinc finger and BTB domain containing 20	ENSMUSG00000022708
B cell leukemia/lymphoma 11B	ENSMUSG00000048251
apolipoprotein A-I	ENSMUSG00000032083
delta like canonical Notch ligand 1	ENSMUSG00000014773
hemolytic complement	ENSMUSG00000026874
5-hydroxytryptamine (serotonin) receptor 1A	ENSMUSG00000021721
laminin, alpha 2	ENSMUSG00000019899
low density lipoprotein receptor-related protein 1	ENSMUSG00000040249
msh homeobox 2	ENSMUSG00000021469
neurogenic differentiation 1	ENSMUSG00000034701
ATP-binding cassette, sub-family B (MDR/TAP), member 1A	ENSMUSG00000040584
retinoic acid receptor, alpha	ENSMUSG00000037992
secreted acidic cysteine rich glycoprotein	ENSMUSG00000018593
thrombospondin 1	ENSMUSG00000040152
vasoactive intestinal polypeptide	ENSMUSG00000019772
beta-site APP cleaving enzyme 1	ENSMUSG00000032086
nuclear receptor subfamily 5, group A, member 1	ENSMUSG00000026751
NADPH oxidase 4	ENSMUSG00000030562
interleukin 23, alpha subunit p19	ENSMUSG00000025383
Braf transforming gene	ENSMUSG00000002413
adenosine A1 receptor	ENSMUSG00000042429
atonal bHLH transcription factor 1	ENSMUSG00000073043
PR domain containing 1, with ZNF domain	ENSMUSG00000038151
caspase 8	ENSMUSG00000026029
suppressor of cytokine signaling 1	ENSMUSG00000038037
cytochrome P450, family 19, subfamily a, polypeptide 1	ENSMUSG00000032274
erythropoietin receptor	ENSMUSG00000006235
fibroblast growth factor receptor 3	ENSMUSG00000054252
growth hormone	ENSMUSG00000020713
nuclear receptor subfamily 4, group A, member 1	ENSMUSG00000023034
inhibitor of DNA binding 2	ENSMUSG00000020644
LYN proto-oncogene, Src family tyrosine kinase	ENSMUSG00000042228
SMAD family member 5	ENSMUSG00000021540
matrix metallopeptidase 13	ENSMUSG00000050578
nerve growth factor	ENSMUSG00000027859
paired-like homeodomain transcription factor 2	ENSMUSG00000028023
protein kinase, cAMP dependent, catalytic, alpha	ENSMUSG00000005469
RAR-related orphan receptor gamma	ENSMUSG00000028150
solute carrier family 2 (facilitated glucose transporter), member 1	ENSMUSG00000028645
sterol regulatory element binding transcription factor 1	ENSMUSG00000020538
spleen tyrosine kinase	ENSMUSG00000021457
sex determining region of Chr Y	ENSMUSG00000069036
transglutaminase 2, C polypeptide	ENSMUSG00000037820
thyroid hormone receptor alpha	ENSMUSG00000058756
thyroid hormone receptor beta	ENSMUSG00000021779
natriuretic peptide type A	ENSMUSG00000041616
interferon regulatory factor 3	ENSMUSG00000003184
COMM domain containing 10	ENSMUSG00000042705
RIKEN cDNA 1700016L21 gene	ENSMUSG00000101483
glutamate receptor, metabotropic 5	ENSMUSG00000049583
c-abl oncogene 1, non-receptor tyrosine kinase	ENSMUSG00000026842
angiotensin II receptor, type 2	ENSMUSG00000068122
Bmi1 polycomb ring finger oncogene	ENSMUSG00000026739
CD79A antigen (immunoglobulin-associated alpha)	ENSMUSG00000003379
caudal type homeobox 2	ENSMUSG00000029646
discs large MAGUK scaffold protein 4	ENSMUSG00000020886
epidermal growth factor	ENSMUSG00000028017
erythropoietin	ENSMUSG00000029711
glucagon-like peptide 1 receptor	ENSMUSG00000024027
glutamate receptor, ionotropic, NMDA2A (epsilon 1)	ENSMUSG00000059003
forkhead box G1	ENSMUSG00000020950
lysine demethylase and nuclear receptor corepressor	ENSMUSG00000022096
chemokine (C-X-C motif) ligand 10	ENSMUSG00000034855
keratin 14	ENSMUSG00000045545
interleukin 1 receptor-like 1	ENSMUSG00000026069
myeloblastosis oncogene	ENSMUSG00000019982
prostaglandin-endoperoxide synthase 1	ENSMUSG00000047250
sphingosine kinase 1	ENSMUSG00000061878
TNF receptor-associated factor 6	ENSMUSG00000027164
vascular cell adhesion molecule 1	ENSMUSG00000027962
solute carrier family 32 (GABA vesicular transporter), member 1	ENSMUSG00000037771
Von Willebrand factor	ENSMUSG00000001930
X-box binding protein 1	ENSMUSG00000020484
histone deacetylase 1	ENSMUSG00000028800
angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	ENSMUSG00000015405
adenylate cyclase activating polypeptide 1	ENSMUSG00000024256
autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	ENSMUSG00000000731
bone morphogenetic protein receptor, type 1A	ENSMUSG00000021796
CD86 antigen	ENSMUSG00000022901
collagen, type I, alpha 2	ENSMUSG00000029661
histocompatibility 2, K1, K region	ENSMUSG00000061232
interferon regulatory factor 8	ENSMUSG00000041515
interferon regulatory factor 1	ENSMUSG00000018899
myocyte enhancer factor 2C	ENSMUSG00000005583
microtubule-associated protein 2	ENSMUSG00000015222
NK2 homeobox 2	ENSMUSG00000027434
solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	ENSMUSG00000026177
sequestosome 1	ENSMUSG00000015837
phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	ENSMUSG00000027665
protein kinase C, epsilon	ENSMUSG00000045038
plasminogen activator, urokinase	ENSMUSG00000021822
protein tyrosine phosphatase, non-receptor type 1	ENSMUSG00000027540
macrophage scavenger receptor 1	ENSMUSG00000025044
surfactant associated protein C	ENSMUSG00000022097
src homology 2 domain-containing transforming protein C1	ENSMUSG00000042626
signal transducer and activator of transcription 4	ENSMUSG00000062939
tachykinin 1	ENSMUSG00000061762
arrestin, beta 2	ENSMUSG00000060216
mitogen-activated protein kinase kinase kinase 7	ENSMUSG00000028284
smoothened, frizzled class receptor	ENSMUSG00000001761
NADPH dependent diflavin oxidoreductase 1	ENSMUSG00000006471,ENSMUSG00000115074
thymoma viral proto-oncogene 2	ENSMUSG00000004056
