	Description	Ensembl GeneIDs
70	sirtuin 1	ENSG00000096717
71	baculoviral IAP repeat containing 5	ENSG00000089685
73	natriuretic peptide B	ENSG00000120937
75	superoxide dismutase 1	ENSG00000142168
76	toll like receptor 2	ENSG00000137462
77	notch receptor 1	ENSG00000148400
78	CD44 molecule (Indian blood group)	ENSG00000026508
79	cytotoxic T-lymphocyte associated protein 4	ENSG00000163599
80	glutathione S-transferase pi 1	ENSG00000084207
81	coagulation factor II, thrombin	ENSG00000180210
82	high mobility group box 1	ENSG00000189403
83	MET proto-oncogene, receptor tyrosine kinase	ENSG00000105976
84	major histocompatibility complex, class I, A	ENSG00000206503
85	ATM serine/threonine kinase	ENSG00000149311
86	C-X-C motif chemokine ligand 12	ENSG00000107562
87	dopamine receptor D2	ENSG00000149295
88	coagulation factor V	ENSG00000198734
89	major histocompatibility complex, class II, DQ beta 1	ENSG00000179344
90	KIT proto-oncogene, receptor tyrosine kinase	ENSG00000157404
91	nuclear receptor subfamily 3 group C member 1	ENSG00000113580
92	homeostatic iron regulator	ENSG00000010704
93	enhancer of zeste 2 polycomb repressive complex 2 subunit	ENSG00000106462
94	X-ray repair cross complementing 1	ENSG00000073050
95	heme oxygenase 1	ENSG00000100292
96	cytochrome P450 family 2 subfamily D member 6	ENSG00000100197
97	intercellular adhesion molecule 1	ENSG00000090339
98	RELA proto-oncogene, NF-kB subunit	ENSG00000173039
99	secreted phosphoprotein 1	ENSG00000118785
100	cytochrome P450 family 2 subfamily C member 19	ENSG00000165841
101	forkhead box P3	ENSG00000049768
102	adrenoceptor beta 2	ENSG00000169252
103	estrogen receptor 2	ENSG00000140009
104	interleukin 18	ENSG00000150782
105	leucine rich repeat kinase 2	ENSG00000188906
106	Fas cell surface death receptor	ENSG00000026103
107	glycogen synthase kinase 3 beta	ENSG00000082701
108	major histocompatibility complex, class I, G	ENSG00000204632
109	RB transcriptional corepressor 1	ENSG00000139687
110	mitogen-activated protein kinase 14	ENSG00000112062
111	interleukin 4	ENSG00000113520
112	programmed cell death 1	ENSG00000188389
113	insulin like growth factor 1 receptor	ENSG00000140443
114	von Willebrand factor	ENSG00000110799
115	poly(ADP-ribose) polymerase 1	ENSG00000143799
116	apolipoprotein A1	ENSG00000118137
117	advanced glycosylation end-product specific receptor	ENSG00000204305
118	angiotensinogen	ENSG00000135744
119	ret proto-oncogene	ENSG00000165731
120	SRC proto-oncogene, non-receptor tyrosine kinase	ENSG00000197122
121	caveolin 1	ENSG00000105974
122	ghrelin and obestatin prepropeptide	ENSG00000157017
123	gap junction protein beta 2	ENSG00000165474
124	integrin subunit beta 1	ENSG00000150093
125	FTO alpha-ketoglutarate dependent dioxygenase	ENSG00000140718
126	Yes1 associated transcriptional regulator	ENSG00000137693
127	integrin subunit beta 3	ENSG00000259207
128	mutL homolog 1	ENSG00000076242
129	nucleotide binding oligomerization domain containing 2	ENSG00000167207
130	caspase 3	ENSG00000164305
131	insulin	ENSG00000254647
132	prion protein	ENSG00000171867
133	cytochrome P450 family 1 subfamily A member 1	ENSG00000140465
134	galectin 3	ENSG00000131981
135	mucin 1, cell surface associated	ENSG00000185499
136	endothelin 1	ENSG00000078401
138	Sp1 transcription factor	ENSG00000185591
139	ATP binding cassette subfamily G member 2 (Junior blood group)	ENSG00000118777
140	lipocalin 2	ENSG00000148346
141	mannose binding lectin 2	ENSG00000165471
142	Rac family small GTPase 1	ENSG00000136238
143	hemoglobin subunit beta	ENSG00000244734
144	matrix metallopeptidase 1	ENSG00000196611
145	solute carrier family 6 member 3	ENSG00000142319
146	cyclin dependent kinase inhibitor 1B	ENSG00000111276
147	cytochrome P450 family 2 subfamily C member 9	ENSG00000138109
148	APC regulator of WNT signaling pathway	ENSG00000134982
149	mitogen-activated protein kinase 3	ENSG00000102882
150	tumor protein p63	ENSG00000073282
151	NLR family pyrin domain containing 3	ENSG00000162711
152	angiotensin II receptor type 1	ENSG00000144891
153	complement factor H	ENSG00000000971
154	Jun proto-oncogene, AP-1 transcription factor subunit	ENSG00000177606
155	kinase insert domain receptor	ENSG00000128052
156	lamin A/C	ENSG00000160789
157	TNF superfamily member 10	ENSG00000121858
158	interleukin 1 receptor antagonist	ENSG00000136689
159	cytochrome P450 family 3 subfamily A member 4	ENSG00000160868
160	apolipoprotein B	ENSG00000084674
161	BCL2 associated X, apoptosis regulator	ENSG00000087088
162	macrophage migration inhibitory factor	ENSG00000240972
163	isocitrate dehydrogenase (NADP(+)) 1	ENSG00000138413
165	cytochrome P450 family 19 subfamily A member 1	ENSG00000137869
166	ALK receptor tyrosine kinase	ENSG00000171094
167	low density lipoprotein receptor	ENSG00000130164
168	O-6-methylguanine-DNA methyltransferase	ENSG00000170430
169	protein tyrosine kinase 2	ENSG00000169398
170	ras homolog family member A	ENSG00000067560
171	parkin RBR E3 ubiquitin protein ligase	ENSG00000185345
172	fms related receptor tyrosine kinase 3	ENSG00000122025
173	TAR DNA binding protein	ENSG00000120948
174	marker of proliferation Ki-67	ENSG00000148773
175	presenilin 1	ENSG00000080815
176	fragile X messenger ribonucleoprotein 1	ENSG00000102081
177	major histocompatibility complex, class I, C	ENSG00000204525
178	TNF receptor superfamily member 11b	ENSG00000164761
179	UDP glucuronosyltransferase family 1 member A1	ENSG00000241635
181	E1A binding protein p300	ENSG00000100393
182	hepatocyte growth factor	ENSG00000019991
183	signal transducer and activator of transcription 1	ENSG00000115415
184	WT1 transcription factor	ENSG00000184937
185	CD14 molecule	ENSG00000170458
186	ATP binding cassette subfamily A member 1	ENSG00000165029
188	nucleophosmin 1	ENSG00000181163
189	sodium voltage-gated channel alpha subunit 5	ENSG00000183873
190	collagen type I alpha 1 chain	ENSG00000108821
191	coagulation factor VIII	ENSG00000185010
192	nitric oxide synthase 2	ENSG00000007171
193	transcription factor 7 like 2	ENSG00000148737
194	von Hippel-Lindau tumor suppressor	ENSG00000134086
195	fibroblast growth factor 2	ENSG00000138685
196	angiotensin converting enzyme 2	ENSG00000130234
197	transthyretin	ENSG00000118271
198	RUNX family transcription factor 1	ENSG00000159216
199	interferon lambda 3	ENSG00000197110
200	heat shock protein 90 alpha family class A member 1	ENSG00000080824
201	interleukin 1 alpha	ENSG00000115008
202	potassium voltage-gated channel subfamily H member 2	ENSG00000055118
203	methyl-CpG binding protein 2	ENSG00000169057
204	fibronectin 1	ENSG00000115414
205	lipoprotein lipase	ENSG00000175445
206	serpin family A member 1	ENSG00000197249
207	dopamine receptor D4	ENSG00000069696
208	ERCC excision repair 2, TFIIH core complex helicase subunit	ENSG00000104884
209	albumin	ENSG00000163631
210	hemoglobin subunit alpha 1	ENSG00000206172
211	huntingtin	ENSG00000197386
212	5-hydroxytryptamine receptor 2A	ENSG00000102468
213	toll like receptor 9	ENSG00000239732
214	aldehyde dehydrogenase 2 family member	ENSG00000111275
215	progesterone receptor	ENSG00000082175
216	N-acetyltransferase 2	ENSG00000156006
217	cholesteryl ester transfer protein	ENSG00000087237
218	gap junction protein alpha 1	ENSG00000152661
219	interleukin 2	ENSG00000109471
220	mitogen-activated protein kinase 8	ENSG00000107643
221	protein tyrosine phosphatase non-receptor type 11	ENSG00000179295
222	caspase 8	ENSG00000064012
223	cystatin C	ENSG00000101439
224	fms related receptor tyrosine kinase 1	ENSG00000102755
225	protein kinase C alpha	ENSG00000154229
226	ubiquitin C	ENSG00000150991
227	PPARG coactivator 1 alpha	ENSG00000109819
228	ABL proto-oncogene 1, non-receptor tyrosine kinase	ENSG00000097007
229	proprotein convertase subtilisin/kexin type 9	ENSG00000169174
230	histone deacetylase 1	ENSG00000116478
231	HRas proto-oncogene, GTPase	ENSG00000174775
232	heat shock protein family A (Hsp70) member 5	ENSG00000044574
233	mutS homolog 2	ENSG00000095002
234	aurora kinase A	ENSG00000087586
235	fibroblast growth factor 23	ENSG00000118972
236	E2F transcription factor 1	ENSG00000101412
237	epidermal growth factor	ENSG00000138798
238	ERCC excision repair 1, endonuclease non-catalytic subunit	ENSG00000012061
239	matrix metallopeptidase 3	ENSG00000149968
240	myeloperoxidase	ENSG00000005381
241	resistin	ENSG00000104918
242	solute carrier family 2 member 1	ENSG00000117394
243	coagulation factor III, tissue factor	ENSG00000117525
244	insulin like growth factor 2	ENSG00000167244
245	C-X-C motif chemokine ligand 10	ENSG00000169245
246	leptin receptor	ENSG00000116678
248	monoamine oxidase A	ENSG00000189221
249	MCL1 apoptosis regulator, BCL2 family member	ENSG00000143384
250	opioid receptor mu 1	ENSG00000112038
251	C-C motif chemokine ligand 5	ENSG00000271503
252	cytochrome P450 family 3 subfamily A member 5	ENSG00000106258
253	aryl hydrocarbon receptor	ENSG00000106546
254	fibroblast growth factor receptor 2	ENSG00000066468
255	insulin like growth factor binding protein 3	ENSG00000146674
256	SMAD family member 4	ENSG00000141646
257	polo like kinase 1	ENSG00000166851
258	bone morphogenetic protein 2	ENSG00000125845
259	SRY-box transcription factor 2	ENSG00000181449
260	prominin 1	ENSG00000007062
261	apurinic/apyrimidinic endodeoxyribonuclease 1	ENSG00000100823
262	insulin receptor	ENSG00000171105
263	8-oxoguanine DNA glycosylase	ENSG00000114026
264	basigin (Ok blood group)	ENSG00000172270
265	toll like receptor 3	ENSG00000164342
266	TNF receptor superfamily member 1A	ENSG00000067182
267	twist family bHLH transcription factor 1	ENSG00000122691
268	TNF superfamily member 11	ENSG00000120659
269	cyclin dependent kinase 1	ENSG00000170312
270	nicotinamide phosphoribosyltransferase	ENSG00000105835
272	forkhead box O3	ENSG00000118689
273	SMAD family member 3	ENSG00000166949
274	POU class 5 homeobox 1	ENSG00000204531
275	RAD51 recombinase	ENSG00000051180
276	fibroblast growth factor receptor 1	ENSG00000077782
277	fibroblast growth factor receptor 3	ENSG00000068078
278	potassium voltage-gated channel subfamily Q member 1	ENSG00000053918
279	tumor protein p73	ENSG00000078900
280	complement C3	ENSG00000125730
281	CREB binding protein	ENSG00000005339
282	dystrophin	ENSG00000198947
283	Fas ligand	ENSG00000117560
284	plasminogen activator, urokinase receptor	ENSG00000011422
285	TIMP metallopeptidase inhibitor 1	ENSG00000102265
286	interleukin 33	ENSG00000137033
287	cellular communication network factor 2	ENSG00000118523
288	DNA methyltransferase 1	ENSG00000130816
289	dipeptidyl peptidase 4	ENSG00000197635
290	forkhead box O1	ENSG00000150907
291	protein tyrosine phosphatase non-receptor type 22	ENSG00000134242
292	GNAS complex locus	ENSG00000087460
293	major histocompatibility complex, class II, DQ alpha 1	ENSG00000196735
294	interleukin 13	ENSG00000169194
295	neurofibromin 1	ENSG00000196712
296	ADAM metallopeptidase with thrombospondin type 1 motif 13	ENSG00000160323
297	checkpoint kinase 2	ENSG00000183765
298	clusterin	ENSG00000120885
299	cytochrome P450 family 2 subfamily E member 1	ENSG00000130649
300	heat shock protein family B (small) member 1	ENSG00000106211
301	sequestosome 1	ENSG00000161011
302	BCL2 like 1	ENSG00000171552
303	thymidylate synthetase	ENSG00000176890
304	calcium sensing receptor	ENSG00000036828
305	cyclin dependent kinase 2	ENSG00000123374
306	chitinase 3 like 1	ENSG00000133048
307	cytochrome P450 family 17 subfamily A member 1	ENSG00000148795
308	growth differentiation factor 15	ENSG00000130513
309	MHC class I polypeptide-related sequence A	ENSG00000204520
310	casein kinase 2 alpha 1	ENSG00000101266
311	forkhead box M1	ENSG00000111206
312	glucosylceramidase beta 1	ENSG00000177628
313	microRNA 145	ENSG00000276365
314	MEFV innate immunity regulator, pyrin	ENSG00000103313
315	proliferating cell nuclear antigen	ENSG00000132646
316	calcitonin related polypeptide alpha	ENSG00000110680
317	CD40 molecule	ENSG00000101017
318	CD40 ligand	ENSG00000102245
319	cAMP responsive element binding protein 1	ENSG00000118260
320	NAD(P)H quinone dehydrogenase 1	ENSG00000181019
321	granulin precursor	ENSG00000030582
322	neuregulin 1	ENSG00000157168
323	metastasis associated lung adenocarcinoma transcript 1	ENSG00000251562
324	purinergic receptor P2X 7	ENSG00000089041
325	pentraxin 3	ENSG00000163661
326	sonic hedgehog signaling molecule	ENSG00000164690
327	RUNX family transcription factor 2	ENSG00000124813
328	cannabinoid receptor 1	ENSG00000118432
329	cytochrome P450 family 1 subfamily B member 1	ENSG00000138061
330	indoleamine 2,3-dioxygenase 1	ENSG00000131203
331	phosphoinositide-3-kinase regulatory subunit 1	ENSG00000145675
332	peroxisome proliferator activated receptor alpha	ENSG00000186951
333	BMI1 proto-oncogene, polycomb ring finger	ENSG00000168283
334	fibrillin 1	ENSG00000166147
335	dicer 1, ribonuclease III	ENSG00000100697
336	growth factor receptor bound protein 2	ENSG00000177885
337	heat shock protein family A (Hsp70) member 4	ENSG00000170606
338	interleukin 2 receptor subunit alpha	ENSG00000134460
339	lipoprotein(a)	ENSG00000198670
340	lysine methyltransferase 2A	ENSG00000118058
341	matrix metallopeptidase 14	ENSG00000157227
342	protein kinase C delta	ENSG00000163932
343	vimentin	ENSG00000026025
344	C9orf72-SMCR8 complex subunit	ENSG00000147894
345	insulin receptor substrate 1	ENSG00000169047
346	apolipoprotein B mRNA editing enzyme catalytic subunit 3G	ENSG00000239713
347	calreticulin	ENSG00000179218
348	CD36 molecule	ENSG00000135218
349	endoglin	ENSG00000106991
350	X-linked inhibitor of apoptosis	ENSG00000101966
351	kallikrein related peptidase 3	ENSG00000142515
352	hepcidin antimicrobial peptide	ENSG00000105697
353	S100 calcium binding protein A9	ENSG00000163220
354	S100 calcium binding protein B	ENSG00000160307
355	snail family transcriptional repressor 1	ENSG00000124216
356	transglutaminase 2	ENSG00000198959
357	thrombospondin 1	ENSG00000137801
358	beclin 1	ENSG00000126581
359	cell division cycle 42	ENSG00000070831
360	HOX transcript antisense RNA	ENSG00000228630
361	TNF superfamily member 13b	ENSG00000102524
362	Ras association domain family member 1	ENSG00000068028
363	filaggrin	ENSG00000143631
364	H19 imprinted maternally expressed transcript	ENSG00000130600
365	interleukin 12B	ENSG00000113302
366	NRAS proto-oncogene, GTPase	ENSG00000213281
367	oxytocin receptor	ENSG00000180914
368	pyruvate kinase M1/2	ENSG00000067225
369	plasminogen activator, urokinase	ENSG00000122861
370	serine/threonine kinase 11	ENSG00000118046
371	zinc finger E-box binding homeobox 1	ENSG00000148516
372	vascular cell adhesion molecule 1	ENSG00000162692
373	klotho	ENSG00000133116
374	endothelial PAS domain protein 1	ENSG00000116016
375	erythropoietin	ENSG00000130427
376	coagulation factor VII	ENSG00000057593
377	Fc gamma receptor IIa	ENSG00000143226
378	dickkopf WNT signaling pathway inhibitor 1	ENSG00000107984
379	hepatocyte nuclear factor 4 alpha	ENSG00000101076
380	integrin subunit alpha V	ENSG00000138448
381	PML nuclear body scaffold	ENSG00000140464
382	transforming growth factor beta receptor 2	ENSG00000163513
383	troponin T2, cardiac type	ENSG00000118194
384	Cbl proto-oncogene	ENSG00000110395
385	apolipoprotein A5	ENSG00000110243
386	DNA methyltransferase 3 alpha	ENSG00000119772
387	ELAV like RNA binding protein 1	ENSG00000066044
388	FUS RNA binding protein	ENSG00000089280
389	glucose-6-phosphate dehydrogenase	ENSG00000160211
390	angiopoietin 2	ENSG00000091879
391	annexin A2	ENSG00000182718
392	haptoglobin	ENSG00000257017
393	interleukin 15	ENSG00000164136
394	melanocortin 4 receptor	ENSG00000166603
395	notch receptor 3	ENSG00000074181
396	protein kinase, DNA-activated, catalytic subunit	ENSG00000253729
397	HNF1 homeobox A	ENSG00000135100
398	ezrin	ENSG00000092820
399	CCAAT enhancer binding protein alpha	ENSG00000245848
400	cytochrome P450 family 1 subfamily A member 2	ENSG00000140505
401	anti-Mullerian hormone	ENSG00000104899
402	growth hormone 1	ENSG00000259384
403	galectin 1	ENSG00000100097
404	lymphotoxin alpha	ENSG00000226979
405	platelet derived growth factor receptor alpha	ENSG00000134853
406	Raf-1 proto-oncogene, serine/threonine kinase	ENSG00000132155
407	spleen associated tyrosine kinase	ENSG00000165025
408	DNA topoisomerase II alpha	ENSG00000131747
409	cytochrome P450 family 21 subfamily A member 2	ENSG00000231852
410	RNA sensor RIG-I	ENSG00000107201
411	heat shock protein family A (Hsp70) member 1A	ENSG00000204389
412	integrin subunit beta 2	ENSG00000160255
413	MYD88 innate immune signal transduction adaptor	ENSG00000172936
414	NFKB inhibitor alpha	ENSG00000100906
415	beta-2-microglobulin	ENSG00000166710
416	SRY-box transcription factor 9	ENSG00000125398
417	TNF receptor superfamily member 1B	ENSG00000028137
418	TNF receptor associated factor 6	ENSG00000175104
419	heparanase	ENSG00000173083
420	checkpoint kinase 1	ENSG00000149554
421	Parkinsonism associated deglycase	ENSG00000116288
422	adrenomedullin	ENSG00000148926
423	early growth response 1	ENSG00000120738
424	Fc gamma receptor IIIa	ENSG00000203747
425	matrix metallopeptidase 7	ENSG00000137673
426	MYCN proto-oncogene, bHLH transcription factor	ENSG00000134323
427	peptidylprolyl cis/trans isomerase, NIMA-interacting 1	ENSG00000127445
428	ATPase copper transporting beta	ENSG00000123191
429	protein kinase cAMP-activated catalytic subunit alpha	ENSG00000072062
430	retinol binding protein 4	ENSG00000138207
431	sodium voltage-gated channel alpha subunit 1	ENSG00000144285
432	TNF alpha induced protein 3	ENSG00000118503
433	thyroid stimulating hormone receptor	ENSG00000165409
434	vascular endothelial growth factor C	ENSG00000150630
435	transient receptor potential cation channel subfamily V member 1	ENSG00000196689
436	high mobility group AT-hook 2	ENSG00000149948
437	KLF transcription factor 4	ENSG00000136826
438	erb-b2 receptor tyrosine kinase 3	ENSG00000065361
439	FYN proto-oncogene, Src family tyrosine kinase	ENSG00000010810
440	GATA binding protein 3	ENSG00000107485
441	G protein subunit beta 3	ENSG00000111664
442	platelet derived growth factor receptor beta	ENSG00000113721
443	protein kinase AMP-activated catalytic subunit alpha 1	ENSG00000132356
444	transforming growth factor beta receptor 1	ENSG00000106799
445	vitamin K epoxide reductase complex subunit 1	ENSG00000167397
446	patatin like phospholipase domain containing 3	ENSG00000100344
447	suppressor of cytokine signaling 3	ENSG00000184557
448	BCL2 like 11	ENSG00000153094
449	cyclin dependent kinase 4	ENSG00000135446
450	alpha fetoprotein	ENSG00000081051
451	H2A.X variant histone	ENSG00000188486
452	ATR serine/threonine kinase	ENSG00000175054
453	stromal interaction molecule 1	ENSG00000167323
454	C-C motif chemokine receptor 2	ENSG00000121807
455	periostin	ENSG00000133110
456	CD209 molecule	ENSG00000090659
457	islet amyloid polypeptide	ENSG00000121351
458	interleukin 6 receptor	ENSG00000160712
459	SMAD family member 2	ENSG00000175387
460	melanocortin 1 receptor	ENSG00000258839
461	Y-box binding protein 1	ENSG00000065978
462	phenylalanine hydroxylase	ENSG00000171759
463	p21 (RAC1) activated kinase 1	ENSG00000149269
464	paired box 6	ENSG00000007372
465	plasminogen	ENSG00000122194
466	peptidylprolyl isomerase A	ENSG00000196262
467	protein C, inactivator of coagulation factors Va and VIIIa	ENSG00000115718
468	bone morphogenetic protein 4	ENSG00000125378
469	TIMP metallopeptidase inhibitor 2	ENSG00000035862
470	valosin containing protein	ENSG00000165280
471	Wnt family member 5A	ENSG00000114251
472	X-ray repair cross complementing 3	ENSG00000126215
473	RUNX family transcription factor 3	ENSG00000020633
474	ETS transcription factor ERG	ENSG00000157554
475	beta-secretase 1	ENSG00000186318
476	histone deacetylase 2	ENSG00000196591
477	potassium inwardly rectifying channel subfamily J member 11	ENSG00000187486
478	LDL receptor related protein 1	ENSG00000123384
480	nibrin	ENSG00000104320
481	syndecan 1	ENSG00000115884
482	selectin E	ENSG00000007908
483	selectin P	ENSG00000174175
484	PTEN induced kinase 1	ENSG00000158828
485	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	ENSG00000127616
486	ADAM metallopeptidase domain 17	ENSG00000151694
487	cathelicidin antimicrobial peptide	ENSG00000164047
488	solute carrier organic anion transporter family member 1B1	ENSG00000134538
489	collagen type II alpha 1 chain	ENSG00000139219
490	adenosine A2a receptor	ENSG00000128271
491	DNA methyltransferase 3 beta	ENSG00000088305
492	aldehyde dehydrogenase 1 family member A1	ENSG00000165092
493	fibroblast growth factor 21	ENSG00000105550
494	GC vitamin D binding protein	ENSG00000145321
495	heat shock protein family D (Hsp60) member 1	ENSG00000144381
496	5-hydroxytryptamine receptor 1A	ENSG00000178394
497	apolipoprotein C3	ENSG00000110245
498	LCK proto-oncogene, Src family tyrosine kinase	ENSG00000182866
499	lactotransferrin	ENSG00000012223
500	ATP binding cassette subfamily C member 1	ENSG00000103222
501	myosin heavy chain 9	ENSG00000100345
502	neural cell adhesion molecule 1	ENSG00000149294
503	interleukin 21	ENSG00000138684
504	Rho associated coiled-coil containing protein kinase 1	ENSG00000067900
505	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	ENSG00000099956
506	troponin I3, cardiac type	ENSG00000129991
507	TSC complex subunit 2	ENSG00000103197
508	small ubiquitin like modifier 1	ENSG00000116030
509	hepatitis A virus cellular receptor 2	ENSG00000135077
510	CCAAT enhancer binding protein beta	ENSG00000172216
511	fibrinogen beta chain	ENSG00000171564
512	fragile histidine triad diadenosine triphosphatase	ENSG00000189283
513	major histocompatibility complex, class II, DP beta 1	ENSG00000223865
514	epithelial cell adhesion molecule	ENSG00000119888
515	placental growth factor	ENSG00000119630
516	SHC adaptor protein 1	ENSG00000160691
517	S-phase kinase associated protein 2	ENSG00000145604
518	secreted protein acidic and cysteine rich	ENSG00000113140
519	uncoupling protein 2	ENSG00000175567
520	carbonic anhydrase 9	ENSG00000107159
521	phospholipase A2 group VII	ENSG00000146070
522	calmodulin 1	ENSG00000198668
523	aurora kinase B	ENSG00000178999
524	caudal type homeobox 2	ENSG00000165556
525	interleukin 23 receptor	ENSG00000162594
526	adrenoceptor beta 1	ENSG00000043591
527	adrenoceptor beta 3	ENSG00000188778
528	cytochrome P450 family 11 subfamily B member 2	ENSG00000179142
529	dopamine receptor D3	ENSG00000151577
530	alpha 2-HS glycoprotein	ENSG00000145192
531	eukaryotic translation initiation factor 4E	ENSG00000151247
532	F2R like trypsin receptor 1	ENSG00000164251
533	fibrinogen alpha chain	ENSG00000171560
534	FKBP prolyl isomerase 5	ENSG00000096060
535	killer cell lectin like receptor K1	ENSG00000213809
536	filamin A	ENSG00000196924
537	follicle stimulating hormone receptor	ENSG00000170820
538	growth hormone receptor	ENSG00000112964
539	GLI family zinc finger 1	ENSG00000111087
540	heat shock protein family A (Hsp70) member 8	ENSG00000109971
541	interferon beta 1	ENSG00000171855
542	inhibitor of nuclear factor kappa B kinase subunit beta	ENSG00000104365
543	integrin subunit alpha 2b	ENSG00000005961
544	interleukin 22	ENSG00000127318
545	DNA polymerase gamma, catalytic subunit	ENSG00000140521
546	F-box and WD repeat domain containing 7	ENSG00000109670
547	sex hormone binding globulin	ENSG00000129214
548	thiopurine S-methyltransferase	ENSG00000137364
549	calcium voltage-gated channel subunit alpha1 C	ENSG00000151067
550	catalase	ENSG00000121691
551	suppressor of cytokine signaling 1	ENSG00000185338
552	cystathionine beta-synthase	ENSG00000160200
553	mucin 16, cell surface associated	ENSG00000181143
554	coagulation factor II thrombin receptor	ENSG00000181104
555	interleukin 4 receptor	ENSG00000077238
556	microRNA 126	ENSG00000199161
557	membrane metalloendopeptidase	ENSG00000196549
558	oxidized low density lipoprotein receptor 1	ENSG00000173391
559	solute carrier family 26 member 4	ENSG00000091137
560	serpin family F member 1	ENSG00000132386
561	arginine vasopressin	ENSG00000101200
562	parathyroid hormone	ENSG00000152266
563	BCL6 transcription repressor	ENSG00000113916
564	BCR activator of RhoGEF and GTPase	ENSG00000186716
565	S100 calcium binding protein A4	ENSG00000196154
566	solute carrier family 4 member 1 (Diego blood group)	ENSG00000004939
567	transferrin	ENSG00000091513
568	transferrin receptor	ENSG00000072274
569	thioredoxin	ENSG00000136810
570	XPC complex subunit, DNA damage recognition and repair factor	ENSG00000154767
571	exportin 1	ENSG00000082898
572	cyclin E1	ENSG00000105173
573	CD34 molecule	ENSG00000174059
574	alcohol dehydrogenase 1B (class I), beta polypeptide	ENSG00000196616
575	cytochrome P450 family 2 subfamily B member 6	ENSG00000197408
576	ETS proto-oncogene 1, transcription factor	ENSG00000134954
577	coagulation factor XIII A chain	ENSG00000124491
578	Fos proto-oncogene, AP-1 transcription factor subunit	ENSG00000170345
579	ATP binding cassette subfamily A member 4	ENSG00000198691
580	fibronectin type III domain containing 5	ENSG00000160097
581	glucokinase	ENSG00000106633
582	heat shock transcription factor 1	ENSG00000185122
583	aquaporin 4	ENSG00000171885
